Valor nulo: -9999.9												
Fecha (GMT)	Altura Signif. del Oleaje(m)	Periodo Medio(s)	Periodo de Pico(s)	Direcc. Media de Proced.(0=N,90=E)	Mar de viento:  Altura signif. Espectral(m)	Mar de viento: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 1:  Altura signif. Espectral(m)	Mar de fondo 1:  Periodo Medio Espectral(s)	Mar de fondo 1: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 2:  Altura signif. Espectral(m)	Mar de fondo 2:  Periodo Medio Espectral(s)	Mar de fondo 2: Direcc. Media de Proced.(0=N,90=E)
2023 06 17 11	0.84	5.29	11.01	299	0.0	180	0.71	9.77	296	0.39	2.99	295
2023 06 17 12	0.81	5.51	11.01	299	0.0	180	0.7	9.75	296	0.33	2.91	294
2023 06 17 13	0.79	5.72	11.01	299	0.0	180	0.7	9.67	296	0.28	2.77	294
2023 06 17 14	0.77	5.93	11.01	299	0.0	180	0.7	9.65	296	0.16	3.67	65
2023 06 17 15	0.75	6.12	11.01	299	0.0	180	0.69	9.6	296	0.16	3.65	65
2023 06 17 16	0.74	6.17	11.01	299	0.02	305	0.69	9.54	295	0.15	3.73	67
2023 06 17 17	0.74	6.05	11.01	299	0.0	180	0.69	9.44	295	0.15	3.74	68
2023 06 17 18	0.74	5.91	11.01	299	0.0	180	0.68	9.36	295	0.15	3.77	68
2023 06 17 19	0.75	5.71	11.01	299	0.0	180	0.68	9.49	295	0.15	3.8	68
2023 06 17 20	0.76	5.58	11.01	299	0.0	180	0.67	9.45	295	0.15	3.85	68
2023 06 17 21	0.76	5.55	11.01	299	0.0	180	0.67	9.39	295	0.15	3.87	69
2023 06 17 22	0.75	5.57	11.01	299	0.0	180	0.66	9.33	295	0.15	3.87	69
2023 06 17 23	0.74	5.61	10.01	299	0.0	180	0.66	9.26	295	0.15	3.86	68
2023 06 18 00	0.72	5.66	10.01	299	0.0	180	0.65	9.16	295	0.15	3.84	68
2023 06 18 01	0.71	5.71	10.01	299	0.0	180	0.64	9.05	295	0.15	3.82	68
2023 06 18 02	0.69	5.75	10.01	298	0.0	180	0.63	8.97	295	0.14	3.78	68
2023 06 18 03	0.68	5.78	10.01	298	0.0	180	0.62	8.88	294	0.14	3.74	68
2023 06 18 04	0.67	5.81	10.01	298	0.0	180	0.61	8.71	294	0.13	3.7	68
2023 06 18 05	0.65	5.84	10.01	298	0.0	180	0.6	8.58	294	0.13	3.66	67
2023 06 18 06	0.65	5.86	10.01	297	0.0	180	0.63	6.13	295	0.11	3.49	65
2023 06 18 07	0.64	5.88	10.01	297	0.0	180	0.63	6.14	295	0.12	3.56	67
2023 06 18 08	0.64	5.9	10.01	297	0.0	180	0.63	6.15	295	0.11	3.47	67
2023 06 18 09	0.64	5.92	10.01	296	0.0	180	0.63	6.17	295	0.11	3.43	67
2023 06 18 10	0.64	5.95	10.01	296	0.0	180	0.63	6.19	294	0.1	3.37	67
2023 06 18 11	0.65	5.99	10.01	296	0.0	180	0.64	6.22	294	0.1	3.36	66
2023 06 18 12	0.65	6.04	10.01	296	0.0	180	0.64	6.28	294	0.09	3.26	66
2023 06 18 13	0.66	6.08	10.01	295	0.0	180	0.65	6.33	294	0.09	3.33	66
2023 06 18 14	0.66	6.11	10.01	295	0.0	180	0.65	6.36	294	0.08	3.28	66
2023 06 18 15	0.66	6.07	10.01	295	0.0	180	0.66	6.29	294	0.08	3.24	66
2023 06 18 16	0.7	5.64	9.1	296	0.0	180	0.69	5.78	295	0.08	3.19	66
2023 06 18 17	0.79	5.14	9.1	298	0.0	180	0.78	5.21	297	0.07	3.16	65
2023 06 18 18	0.85	4.96	9.1	298	0.0	180	0.64	7.92	294	0.55	3.71	302
2023 06 18 19	0.85	4.92	9.1	297	0.0	180	0.64	7.91	293	0.55	3.69	301
2023 06 18 20	0.82	4.92	9.1	297	0.0	180	0.62	7.96	293	0.52	3.62	301
2023 06 18 21	0.78	4.93	9.1	296	0.0	180	0.62	7.83	293	0.46	3.43	301
2023 06 18 22	0.74	4.95	9.1	296	0.0	180	0.62	7.56	293	0.38	3.16	304
2023 06 18 23	0.7	4.99	9.1	296	0.0	180	0.7	5.02	296	0.05	2.97	65
2023 06 19 00	0.67	5.04	9.1	296	0.0	180	0.67	5.06	296	0.04	2.94	65
2023 06 19 01	0.65	5.09	9.1	296	0.0	180	0.65	5.13	295	0.04	2.91	65
2023 06 19 02	0.63	5.14	9.1	296	0.0	180	0.63	5.18	295	0.04	2.88	66
2023 06 19 03	0.62	5.18	9.1	295	0.0	180	0.61	5.23	295	0.04	2.85	66
2023 06 19 04	0.6	5.22	9.1	295	0.0	180	0.6	5.28	295	0.03	2.83	65
2023 06 19 05	0.59	5.25	9.1	295	0.0	180	0.58	5.31	295	0.03	2.82	65
2023 06 19 06	0.57	5.27	9.1	295	0.0	180	0.57	5.34	294	0.03	2.8	64
2023 06 19 07	0.56	5.29	9.1	294	0.0	180	0.56	5.36	294	0.03	2.8	64
2023 06 19 08	0.54	5.28	9.1	294	0.0	180	0.54	5.38	294	0.03	2.77	63
2023 06 19 09	0.53	5.27	9.1	294	0.0	180	0.53	5.41	294	0.03	2.74	62
2023 06 19 10	0.52	5.25	9.1	294	0.0	180	0.51	5.46	294	0.03	2.8	64
2023 06 19 11	0.5	5.26	8.27	294	0.0	180	0.5	5.53	293	0.03	3.7	65
2023 06 19 12	0.49	5.25	8.27	295	0.01	264	0.48	5.8	294	0.07	3.27	65
2023 06 19 13	0.49	5.15	8.27	297	0.0	180	0.47	5.84	293	0.11	3.13	65
2023 06 19 14	0.49	4.96	8.27	300	0.03	287	0.46	5.97	293	0.15	3.36	65
2023 06 19 15	0.49	4.82	8.27	303	0.0	180	0.45	5.48	293	0.19	3.49	65
2023 06 19 16	0.49	4.77	8.27	307	0.0	180	0.44	5.52	293	0.21	3.6	65
2023 06 19 17	0.49	4.72	8.27	311	0.02	95	0.43	5.59	293	0.24	3.56	62
2023 06 19 18	0.49	4.69	8.27	314	0.0	180	0.42	5.54	293	0.26	3.57	62
2023 06 19 19	0.49	4.67	8.27	317	0.0	180	0.41	5.47	293	0.26	3.64	62
2023 06 19 20	0.48	4.64	8.27	319	0.0	180	0.4	5.43	293	0.26	3.66	62
2023 06 19 21	0.47	4.61	8.27	320	0.0	180	0.39	5.38	293	0.26	3.66	62
2023 06 19 22	0.46	4.57	8.27	320	0.0	180	0.38	5.31	293	0.26	3.65	62
2023 06 19 23	0.46	4.49	8.27	320	0.03	310	0.37	5.61	293	0.25	3.67	62
2023 06 20 00	0.47	4.15	8.27	320	0.06	300	0.31	7.07	291	0.26	3.74	61
2023 06 20 01	0.51	3.62	8.27	318	0.09	281	0.3	3.29	298	0.3	7.91	291
2023 06 20 02	0.56	3.66	5.13	318	0.04	267	0.38	3.08	297	0.38	9.99	291
2023 06 20 03	0.6	3.62	5.13	320	0.14	284	0.32	4.46	59	0.32	8.66	291
2023 06 20 04	0.62	3.62	5.13	323	0.11	280	0.27	4.81	52	0.27	7.47	291
2023 06 20 05	0.61	3.59	5.13	324	0.11	276	0.29	4.46	61	0.29	7.43	291
2023 06 20 06	0.59	3.61	5.13	326	0.07	263	0.32	4.74	58	0.32	8.12	292
2023 06 20 07	0.57	3.53	5.13	323	0.11	281	0.3	4.74	58	0.3	7.74	292
2023 06 20 08	0.58	3.45	5.13	318	0.08	272	0.28	4.7	59	0.28	7.0	292
2023 06 20 09	0.55	3.52	4.67	316	0.0	180	0.26	6.62	292	0.26	4.65	59
2023 06 20 10	0.52	3.6	4.67	316	0.0	180	0.26	6.58	293	0.24	4.59	59
2023 06 20 11	0.48	3.65	4.67	316	0.0	180	0.26	6.38	293	0.22	4.53	59
2023 06 20 12	0.46	3.67	4.67	315	0.0	180	0.26	6.33	293	0.21	4.46	60
2023 06 20 13	0.44	3.69	4.67	314	0.0	180	0.26	6.22	294	0.19	4.39	60
2023 06 20 14	0.42	3.71	4.67	313	0.0	180	0.26	6.2	294	0.18	4.32	60
2023 06 20 15	0.4	3.74	4.24	311	0.0	180	0.27	6.02	295	0.25	2.78	304
2023 06 20 16	0.39	3.77	4.24	310	0.0	180	0.36	3.7	299	0.15	4.18	59
2023 06 20 17	0.4	3.81	4.24	309	0.0	180	0.29	3.14	303	0.29	8.2	295
2023 06 20 18	0.43	3.9	4.67	306	0.0	180	0.34	3.44	302	0.17	6.55	290
2023 06 20 19	0.48	4.0	4.67	303	0.0	180	0.42	3.75	300	0.11	7.25	286
2023 06 20 20	0.52	4.07	4.67	301	0.0	180	0.47	3.85	298	0.18	7.68	300
2023 06 20 21	0.54	4.11	4.67	300	0.0	180	0.48	3.88	297	0.2	7.57	299
2023 06 20 22	0.54	4.11	4.67	300	0.0	180	0.48	3.86	297	0.21	7.56	299
2023 06 20 23	0.53	4.13	4.67	300	0.0	180	0.47	3.84	297	0.22	7.55	299
2023 06 21 00	0.53	4.17	4.67	300	0.0	180	0.46	3.84	298	0.24	7.54	299
2023 06 21 01	0.53	4.24	7.52	300	0.0	180	0.45	3.86	298	0.26	7.51	300
2023 06 21 02	0.54	4.35	6.83	299	0.0	180	0.51	4.22	297	0.16	8.04	310
2023 06 21 03	0.55	4.46	6.21	299	0.0	180	0.54	4.42	298	0.1	9.35	303
2023 06 21 04	0.56	4.57	6.21	299	0.0	180	0.55	4.51	298	0.11	9.32	303
2023 06 21 05	0.56	4.63	6.21	298	0.0	180	0.55	4.57	297	0.12	9.29	302
2023 06 21 06	0.56	4.66	6.21	298	0.0	180	0.55	4.69	298	0.06	3.44	55
2023 06 21 07	0.54	4.68	6.21	298	0.0	180	0.5	4.47	297	0.19	8.67	302
2023 06 21 08	0.52	4.68	6.83	298	0.0	180	0.47	4.37	296	0.22	8.34	304
2023 06 21 09	0.51	4.69	6.83	298	0.01	40	0.45	4.38	296	0.23	8.33	304
2023 06 21 10	0.49	4.69	6.83	299	0.02	42	0.43	4.38	296	0.43	15.67	304
2023 06 21 11	0.48	4.71	8.27	299	0.0	180	0.42	4.37	297	0.42	15.13	304
2023 06 21 12	0.47	4.72	8.27	299	0.01	48	0.41	4.37	297	0.41	14.76	304
2023 06 21 13	0.46	4.71	8.27	299	0.02	51	0.4	4.37	297	0.4	14.56	304
