Valor nulo: -9999.9		
Fecha (GMT)	Velocidad media de Corriente(m/s)	Dir. de prop. de la Corriente (0=N,90=E)
2023 08 26 20	0.079	35.28
2023 08 26 21	0.075	37.47
2023 08 26 22	0.076	35.97
2023 08 26 23	0.089	30.85
2023 08 27 00	0.107	27.75
2023 08 27 01	0.117	27.43
2023 08 27 02	0.123	27.6
2023 08 27 03	0.123	27.6
2023 08 27 04	0.116	28.1
2023 08 27 05	0.104	29.26
2023 08 27 06	0.085	32.57
2023 08 27 07	0.062	39.8
2023 08 27 08	0.041	55.92
2023 08 27 09	0.028	83.88
2023 08 27 10	0.023	104.62
2023 08 27 11	0.021	90.0
2023 08 27 12	0.025	54.46
2023 08 27 13	0.046	32.66
2023 08 27 14	0.067	27.32
2023 08 27 15	0.085	25.66
2023 08 27 16	0.095	26.83
2023 08 27 17	0.093	29.59
2023 08 27 18	0.081	33.49
2023 08 27 19	0.064	36.15
2023 08 27 20	0.048	41.63
2023 08 27 21	0.036	47.2
2023 08 27 22	0.033	42.61
2023 08 27 23	0.039	30.46
2023 08 28 00	0.045	24.86
2023 08 28 01	0.056	22.93
2023 08 28 02	0.07	22.55
2023 08 28 03	0.083	23.19
2023 08 28 04	0.095	24.69
2023 08 28 05	0.1	27.33
2023 08 28 06	0.095	31.68
2023 08 28 07	0.083	38.65
2023 08 28 08	0.071	46.7
2023 08 28 09	0.064	51.34
2023 08 28 10	0.061	51.63
2023 08 28 11	0.064	48.14
2023 08 28 12	0.072	42.75
2023 08 28 13	0.085	39.28
2023 08 28 14	0.099	34.8
2023 08 28 15	0.114	31.73
2023 08 28 16	0.121	30.56
2023 08 28 17	0.121	31.85
2023 08 28 18	0.111	33.69
2023 08 28 19	0.094	36.38
2023 08 28 20	0.075	41.25
2023 08 28 21	0.062	46.3
2023 08 28 22	0.053	48.01
2023 08 28 23	0.048	45.83
2023 08 29 00	0.05	39.36
2023 08 29 01	0.058	31.79
2023 08 29 02	0.069	27.29
2023 08 29 03	0.079	24.62
2023 08 29 04	0.085	24.16
2023 08 29 05	0.085	25.05
2023 08 29 06	0.075	27.58
2023 08 29 07	0.061	33.69
2023 08 29 08	0.046	42.35
2023 08 29 09	0.034	54.46
2023 08 29 10	0.027	64.35
2023 08 29 11	0.026	60.52
2023 08 29 12	0.034	48.5
2023 08 29 13	0.049	39.2
2023 08 29 14	0.064	33.69
2023 08 29 15	0.081	30.96
2023 08 29 16	0.096	29.22
2023 08 29 17	0.104	29.26
2023 08 29 18	0.104	31.71
2023 08 29 19	0.098	35.94
2023 08 29 20	0.085	40.23
2023 08 29 21	0.07	46.73
2023 08 29 22	0.055	53.74
2023 08 29 23	0.048	54.32
2023 08 30 00	0.041	50.9
2023 08 30 01	0.041	40.15
2023 08 30 02	0.048	30.76
2023 08 30 03	0.06	23.57
2023 08 30 04	0.071	19.7
2023 08 30 05	0.078	18.66
2023 08 30 06	0.078	20.04
2023 08 30 07	0.072	23.72
2023 08 30 08	0.058	29.62
2023 08 30 09	0.043	41.3
2023 08 30 10	0.033	55.84
2023 08 30 11	0.027	70.9
2023 08 30 12	0.023	75.37
2023 08 30 13	0.023	62.35
2023 08 30 14	0.03	43.66
2023 08 30 15	0.045	30.52
2023 08 30 16	0.062	24.51
2023 08 30 17	0.078	22.34
2023 08 30 18	0.089	20.25
2023 08 30 19	0.091	21.21
2023 08 30 20	0.082	23.47
2023 08 30 21	0.067	26.56
2023 08 30 22	0.048	31.37
2023 08 30 23	0.034	37.87
2023 08 31 00	0.027	40.6
2023 08 31 01	0.028	33.69
2023 08 31 02	0.038	23.19
2023 08 31 03	0.051	18.08
2023 08 31 04	0.066	16.53
2023 08 31 05	0.081	16.42
2023 08 31 06	0.089	16.82
2023 08 31 07	0.09	18.03
2023 08 31 08	0.081	19.98
2023 08 31 09	0.068	24.3
2023 08 31 10	0.048	31.37
2023 08 31 11	0.028	50.71
2023 08 31 12	0.017	100.0
2023 08 31 13	0.025	159.44
2023 08 31 14	0.027	177.87
2023 08 31 15	0.013	206.56
2023 08 31 16	0.016	338.19
2023 08 31 17	0.051	358.87
2023 08 31 18	0.081	6.34
2023 08 31 19	0.1	11.53
2023 08 31 20	0.104	16.17
2023 08 31 21	0.091	20.4
2023 08 31 22	0.076	26.23
2023 08 31 23	0.059	33.95
2023 09 01 00	0.041	45.97
2023 09 01 01	0.029	59.03
2023 09 01 02	0.021	65.77
2023 09 01 03	0.018	57.99
2023 09 01 04	0.022	32.27
2023 09 01 05	0.033	17.35
2023 09 01 06	0.044	11.56
2023 09 01 07	0.047	9.65
2023 09 01 08	0.046	7.43
2023 09 01 09	0.042	5.44
2023 09 01 10	0.035	1.63
2023 09 01 11	0.021	357.27
2023 09 01 12	0.004	345.96
2023 09 01 13	0.006	180.0
2023 09 01 14	0.006	153.43
2023 09 01 15	0.006	63.43
2023 09 01 16	0.013	41.98
2023 09 01 17	0.021	43.15
2023 09 01 18	0.032	37.56
2023 09 01 19	0.041	37.14
2023 09 01 20	0.04	41.98
2023 09 01 21	0.026	63.43
2023 09 01 22	0.018	122.0
2023 09 01 23	0.017	153.43
2023 09 02 00	0.016	162.64
2023 09 02 01	0.024	175.23
2023 09 02 02	0.025	186.84
2023 09 02 03	0.02	191.3
2023 09 02 04	0.008	209.74
2023 09 02 05	0.011	349.69
2023 09 02 06	0.028	2.04
2023 09 02 07	0.042	6.78
2023 09 02 08	0.049	11.76
2023 09 02 09	0.049	14.03
2023 09 02 10	0.044	16.82
2023 09 02 11	0.038	17.96
2023 09 02 12	0.03	17.24
2023 09 02 13	0.017	10.0
2023 09 02 14	0.005	300.96
2023 09 02 15	0.014	245.22
2023 09 02 16	0.023	252.34
2023 09 02 17	0.031	266.3
2023 09 02 18	0.037	284.03
2023 09 02 19	0.043	303.69
2023 09 02 20	0.042	306.32
2023 09 02 21	0.043	310.31
2023 09 02 22	0.042	316.9
2023 09 02 23	0.035	321.84
2023 09 03 00	0.026	319.63
2023 09 03 01	0.018	292.38
2023 09 03 02	0.022	246.8
2023 09 03 03	0.036	228.36
2023 09 03 04	0.046	226.73
2023 09 03 05	0.05	230.63
2023 09 03 06	0.049	237.26
2023 09 03 07	0.046	250.01
2023 09 03 08	0.044	263.51
2023 09 03 09	0.044	271.3
2023 09 03 10	0.044	267.39
2023 09 03 11	0.048	248.19
2023 09 03 12	0.063	235.3
2023 09 03 13	0.079	227.53
2023 09 03 14	0.093	225.86
2023 09 03 15	0.1	230.26
2023 09 03 16	0.098	235.34
2023 09 03 17	0.091	242.03
2023 09 03 18	0.081	257.16
2023 09 03 19	0.071	282.09
2023 09 03 20	0.074	308.41
2023 09 03 21	0.079	325.71
2023 09 03 22	0.08	337.27
2023 09 03 23	0.067	348.85
2023 09 04 00	0.044	5.19
2023 09 04 01	0.016	42.51
2023 09 04 02	0.023	154.53
2023 09 04 03	0.046	176.26
2023 09 04 04	0.057	187.0
2023 09 04 05	0.052	198.77
2023 09 04 06	0.035	218.15
2023 09 04 07	0.021	283.39
2023 09 04 08	0.045	344.74
2023 09 04 09	0.082	0.69
2023 09 04 10	0.11	8.35
2023 09 04 11	0.124	13.47
2023 09 04 12	0.119	17.98
2023 09 04 13	0.103	23.34
2023 09 04 14	0.083	30.25
2023 09 04 15	0.067	38.39
2023 09 04 16	0.058	43.6
2023 09 04 17	0.058	40.81
2023 09 04 18	0.067	34.15
2023 09 04 19	0.084	28.98
2023 09 04 20	0.099	26.3
2023 09 04 21	0.111	26.56
2023 09 04 22	0.109	27.73
2023 09 04 23	0.096	29.74
2023 09 05 00	0.077	35.53
2023 09 05 01	0.055	47.93
2023 09 05 02	0.038	70.14
2023 09 05 03	0.027	96.34
2023 09 05 04	0.019	117.89
2023 09 05 05	0.008	125.53
2023 09 05 06	0.005	0.0
2023 09 05 07	0.018	347.47
2023 09 05 08	0.031	352.64
2023 09 05 09	0.039	358.53
2023 09 05 10	0.04	2.86
2023 09 05 11	0.034	6.7
2023 09 05 12	0.023	12.26
2023 09 05 13	0.015	23.19
2023 09 05 14	0.009	40.6
2023 09 05 15	0.006	51.34
2023 09 05 16	0.005	36.86
2023 09 05 17	0.003	0.0
2023 09 05 18	0.003	326.3
2023 09 05 19	0.005	323.13
2023 09 05 20	0.005	338.19
2023 09 05 21	0.011	10.3
2023 09 05 22	0.021	25.34
2023 09 05 23	0.031	32.19
2023 09 06 00	0.053	31.32
2023 09 06 01	0.057	37.87
2023 09 06 02	0.056	42.13
2023 09 06 03	0.055	41.37
2023 09 06 04	0.057	35.07
2023 09 06 05	0.06	27.4
2023 09 06 06	0.066	19.24
2023 09 06 07	0.074	14.78
2023 09 06 08	0.085	12.89
2023 09 06 09	0.097	13.03
2023 09 06 10	0.106	15.2
2023 09 06 11	0.11	18.43
2023 09 06 12	0.109	22.09
2023 09 06 13	0.105	26.56
2023 09 06 14	0.097	30.76
2023 09 06 15	0.088	34.4
2023 09 06 16	0.077	34.5
2023 09 06 17	0.071	29.44
2023 09 06 18	0.074	19.65
2023 09 06 19	0.087	9.89
2023 09 06 20	0.106	4.85
2023 09 06 21	0.117	4.88
2023 09 06 22	0.124	6.89
2023 09 06 23	0.127	9.9
2023 09 07 00	0.124	13.92
2023 09 07 01	0.116	19.05
2023 09 07 02	0.104	24.35
2023 09 07 03	0.09	29.98
2023 09 07 04	0.077	33.48
2023 09 07 05	0.071	35.25
2023 09 07 06	0.069	32.09
2023 09 07 07	0.071	26.56
2023 09 07 08	0.075	22.5
2023 09 07 09	0.077	21.25
2023 09 07 10	0.071	24.77
2023 09 07 11	0.061	33.69
2023 09 07 12	0.05	48.17
2023 09 07 13	0.044	60.57
2023 09 07 14	0.039	67.93
2023 09 07 15	0.034	64.17
2023 09 07 16	0.031	48.81
2023 09 07 17	0.038	26.56
2023 09 07 18	0.053	12.99
2023 09 07 19	0.07	6.51
2023 09 07 20	0.088	5.19
2023 09 07 21	0.1	7.4
2023 09 07 22	0.109	10.49
2023 09 07 23	0.114	15.25
2023 09 08 00	0.119	20.55
2023 09 08 01	0.121	25.93
2023 09 08 02	0.118	30.46
2023 09 08 03	0.112	34.82
2023 09 08 04	0.1	37.32
2023 09 08 05	0.088	39.47
2023 09 08 06	0.078	37.74
2023 09 08 07	0.072	33.25
2023 09 08 08	0.076	26.23
2023 09 08 09	0.086	20.94
2023 09 08 10	0.097	18.62
2023 09 08 11	0.105	17.06
2023 09 08 12	0.111	17.14
2023 09 08 13	0.114	18.27
2023 09 08 14	0.113	21.8
2023 09 08 15	0.107	26.56
2023 09 08 16	0.099	32.24
2023 09 08 17	0.091	38.75
2023 09 08 18	0.082	43.53
2023 09 08 19	0.076	45.0
2023 09 08 20	0.07	46.14
2023 09 08 21	0.066	46.21
2023 09 08 22	0.064	41.85
2023 09 08 23	0.066	37.04
2023 09 09 00	0.074	31.75
2023 09 09 01	0.082	29.05
2023 09 09 02	0.086	30.73
2023 09 09 03	0.086	32.77
2023 09 09 04	0.086	34.61
2023 09 09 05	0.084	34.82
2023 09 09 06	0.082	33.69
2023 09 09 07	0.08	31.32
2023 09 09 08	0.08	27.52
2023 09 09 09	0.079	23.67
2023 09 09 10	0.079	21.39
2023 09 09 11	0.073	20.64
2023 09 09 12	0.065	23.42
2023 09 09 13	0.061	29.05
2023 09 09 14	0.061	34.99
2023 09 09 15	0.061	40.39
2023 09 09 16	0.058	45.69
2023 09 09 17	0.053	48.01
2023 09 09 18	0.05	47.41
2023 09 09 19	0.051	39.52
2023 09 09 20	0.056	31.13
2023 09 09 21	0.051	26.56
2023 09 09 22	0.06	17.24
2023 09 09 23	0.085	11.44
2023 09 10 00	0.12	9.54
2023 09 10 01	0.132	12.15
2023 09 10 02	0.131	16.36
2023 09 10 03	0.117	23.07
2023 09 10 04	0.099	32.24
2023 09 10 05	0.079	44.49
2023 09 10 06	0.058	61.23
2023 09 10 07	0.041	87.2
2023 09 10 08	0.032	115.76
2023 09 10 09	0.023	133.26
2023 09 10 10	0.008	125.53
2023 09 10 11	0.014	0.0
2023 09 10 12	0.034	356.63
2023 09 10 13	0.051	1.12
2023 09 10 14	0.063	6.34
2023 09 10 15	0.07	11.46
2023 09 10 16	0.077	15.64
2023 09 10 17	0.085	18.43
2023 09 10 18	0.087	20.09
2023 09 10 19	0.078	22.34
2023 09 10 20	0.068	22.42
2023 09 10 21	0.063	18.43
2023 09 10 22	0.068	14.44
2023 09 10 23	0.074	12.36
2023 09 11 00	0.083	11.04
2023 09 11 01	0.084	12.23
2023 09 11 02	0.073	15.73
2023 09 11 03	0.053	26.56
2023 09 11 04	0.036	56.3
2023 09 11 05	0.032	104.03
2023 09 11 06	0.044	135.9
2023 09 11 07	0.053	151.99
2023 09 11 08	0.052	159.82
2023 09 11 09	0.041	160.25
2023 09 11 10	0.019	145.49
2023 09 11 11	0.011	52.12
2023 09 11 12	0.02	35.21
2023 09 11 13	0.018	60.64
2023 09 11 14	0.023	123.02
2023 09 11 15	0.042	150.42
2023 09 11 16	0.051	160.86
2023 09 11 17	0.046	168.92
2023 09 11 18	0.036	180.0
2023 09 11 19	0.023	194.62
2023 09 11 20	0.013	233.97
2023 09 11 21	0.015	301.6
2023 09 11 22	0.032	336.57
2023 09 11 23	0.054	350.53
2023 09 12 00	0.08	358.56
2023 09 12 01	0.092	3.73
2023 09 12 02	0.091	10.08
2023 09 12 03	0.077	19.6
2023 09 12 04	0.058	35.88
2023 09 12 05	0.042	62.24
2023 09 12 06	0.036	97.9
2023 09 12 07	0.038	133.95
2023 09 12 08	0.044	156.29
2023 09 12 09	0.043	170.75
2023 09 12 10	0.033	183.46
2023 09 12 11	0.014	213.69
2023 09 12 12	0.013	311.98
2023 09 12 13	0.025	339.44
2023 09 12 14	0.025	348.69
2023 09 12 15	0.018	353.65
2023 09 12 16	0.011	10.3
2023 09 12 17	0.005	30.96
2023 09 12 18	0.002	63.43
2023 09 12 19	0.002	90.0
2023 09 12 20	0.003	108.43
2023 09 12 21	0.002	63.43
2023 09 12 22	0.009	0.0
2023 09 12 23	0.022	357.39
2023 09 13 00	0.047	3.65
2023 09 13 01	0.056	5.1
2023 09 13 02	0.057	7.0
2023 09 13 03	0.05	12.65
2023 09 13 04	0.039	22.06
2023 09 13 05	0.026	41.98
2023 09 13 06	0.018	77.47
2023 09 13 07	0.019	141.34
2023 09 13 08	0.029	174.09
2023 09 13 09	0.036	194.42
2023 09 13 10	0.039	215.7
2023 09 13 11	0.038	233.42
2023 09 13 12	0.035	255.17
2023 09 13 13	0.034	286.85
2023 09 13 14	0.039	312.95
2023 09 13 15	0.047	327.99
2023 09 13 16	0.05	335.46
2023 09 13 17	0.049	338.62
2023 09 13 18	0.043	335.77
2023 09 13 19	0.033	324.86
2023 09 13 20	0.023	289.98
2023 09 13 21	0.029	247.83
2023 09 13 22	0.04	237.09
2023 09 13 23	0.047	239.65
2023 09 14 00	0.048	251.93
2023 09 14 01	0.047	272.43
2023 09 14 02	0.047	296.02
2023 09 14 03	0.053	318.01
2023 09 14 04	0.06	333.43
2023 09 14 05	0.06	342.75
2023 09 14 06	0.05	347.34
2023 09 14 07	0.024	335.55
2023 09 14 08	0.019	222.87
2023 09 14 09	0.052	204.62
2023 09 14 10	0.083	204.1
2023 09 14 11	0.101	206.81
2023 09 14 12	0.107	212.51
2023 09 14 13	0.097	220.85
2023 09 14 14	0.078	233.86
2023 09 14 15	0.059	256.42
2023 09 14 16	0.05	286.26
2023 09 14 17	0.051	312.64
2023 09 14 18	0.054	326.88
2023 09 14 19	0.053	333.43
2023 09 14 20	0.043	334.02
2023 09 14 21	0.025	326.3
2023 09 14 22	0.011	264.8
2023 09 14 23	0.024	204.44
2023 09 15 00	0.036	194.42
2023 09 15 01	0.037	194.03
2023 09 15 02	0.026	197.74
2023 09 15 03	0.005	258.69
2023 09 15 04	0.026	4.39
2023 09 15 05	0.053	14.03
2023 09 15 06	0.069	19.21
2023 09 15 07	0.073	25.86
2023 09 15 08	0.063	35.96
2023 09 15 09	0.048	53.36
2023 09 15 10	0.038	79.56
2023 09 15 11	0.034	106.85
2023 09 15 12	0.032	123.69
2023 09 15 13	0.026	112.61
2023 09 15 14	0.025	64.44
2023 09 15 15	0.047	33.02
2023 09 15 16	0.076	23.88
2023 09 15 17	0.101	21.48
2023 09 15 18	0.117	22.61
2023 09 15 19	0.119	26.77
2023 09 15 20	0.108	32.95
2023 09 15 21	0.087	40.81
2023 09 15 22	0.069	50.82
2023 09 15 23	0.054	61.55
2023 09 16 00	0.044	68.68
2023 09 16 01	0.038	65.43
2023 09 16 02	0.038	54.63
2023 09 16 03	0.044	40.46
2023 09 16 04	0.056	29.74
2023 09 16 05	0.073	24.82
2023 09 16 06	0.086	23.02
2023 09 16 07	0.09	22.86
2023 09 16 08	0.085	24.77
2023 09 16 09	0.076	28.24
2023 09 16 10	0.061	33.69
2023 09 16 11	0.047	42.43
2023 09 16 12	0.034	54.46
2023 09 16 13	0.025	62.44
2023 09 16 14	0.023	59.03
2023 09 16 15	0.022	48.57
2023 09 16 16	0.028	34.82
2023 09 16 17	0.037	27.25
2023 09 16 18	0.046	22.71
2023 09 16 19	0.053	17.41
2023 09 16 20	0.058	12.84
2023 09 16 21	0.061	13.13
2023 09 16 22	0.063	15.57
2023 09 16 23	0.063	19.29
2023 09 17 00	0.062	24.51
2023 09 17 01	0.064	25.76
2023 09 17 02	0.068	25.82
2023 09 17 03	0.076	24.88
2023 09 17 04	0.084	24.44
2023 09 17 05	0.091	24.59
2023 09 17 06	0.095	26.02
2023 09 17 07	0.092	29.05
2023 09 17 08	0.086	33.69
2023 09 17 09	0.074	41.18
2023 09 17 10	0.057	52.73
2023 09 17 11	0.039	76.67
2023 09 17 12	0.028	108.43
2023 09 17 13	0.021	81.86
2023 09 17 14	0.038	26.56
2023 09 17 15	0.077	13.49
2023 09 17 16	0.117	11.3
2023 09 17 17	0.15	11.53
2023 09 17 18	0.171	13.46
2023 09 17 19	0.182	15.25
2023 09 17 20	0.183	18.13
2023 09 17 21	0.166	21.92
2023 09 17 22	0.142	25.84
2023 09 17 23	0.127	28.57
2023 09 18 00	0.121	30.8
2023 09 18 01	0.114	35.77
2023 09 18 02	0.115	41.83
2023 09 18 03	0.12	45.0
2023 09 18 04	0.133	44.09
2023 09 18 05	0.152	41.53
2023 09 18 06	0.171	41.21
2023 09 18 07	0.182	42.78
2023 09 18 08	0.185	46.31
2023 09 18 09	0.181	50.79
2023 09 18 10	0.168	56.12
2023 09 18 11	0.15	61.38
2023 09 18 12	0.13	64.02
2023 09 18 13	0.12	65.98
2023 09 18 14	0.116	64.09
2023 09 18 15	0.12	57.23
2023 09 18 16	0.127	50.71
2023 09 18 17	0.132	47.14
2023 09 18 18	0.129	46.56
2023 09 18 19	0.121	46.33
2023 09 18 20	0.108	47.61
2023 09 18 21	0.089	49.53
2023 09 18 22	0.066	55.35
2023 09 18 23	0.044	67.47
2023 09 19 00	0.03	84.28
2023 09 19 01	0.02	101.3
2023 09 19 02	0.013	90.0
2023 09 19 03	0.018	33.69
2023 09 19 04	0.037	15.52
2023 09 19 05	0.056	12.3
2023 09 19 06	0.066	13.82
2023 09 19 07	0.067	18.16
2023 09 19 08	0.061	24.05
2023 09 19 09	0.049	33.36
2023 09 19 10	0.031	52.76
2023 09 19 11	0.021	114.22
2023 09 19 12	0.037	163.0
2023 09 19 13	0.054	178.93
2023 09 19 14	0.058	187.85
2023 09 19 15	0.047	198.43
2023 09 19 16	0.029	218.04
2023 09 19 17	0.018	269.99
2023 09 19 18	0.023	325.61
2023 09 19 19	0.036	348.99
2023 09 19 20	0.046	1.24
2023 09 19 21	0.048	9.46
2023 09 19 22	0.043	17.19
2023 09 19 23	0.037	27.25
2023 09 20 00	0.046	47.64
2023 09 20 01	0.032	68.19
2023 09 20 02	0.025	87.7
2023 09 20 03	0.022	77.19
2023 09 20 04	0.029	45.0
2023 09 20 05	0.049	26.56
2023 09 20 06	0.072	21.94
2023 09 20 07	0.093	22.71
2023 09 20 08	0.112	25.88
2023 09 20 09	0.127	29.18
2023 09 20 10	0.131	34.17
2023 09 20 11	0.122	42.02
2023 09 20 12	0.107	52.17
2023 09 20 13	0.091	64.83
2023 09 20 14	0.079	75.43
2023 09 20 15	0.073	78.23
2023 09 20 16	0.073	69.35
2023 09 20 17	0.084	54.61
2023 09 20 18	0.103	44.21
2023 09 20 19	0.123	39.09
2023 09 20 20	0.137	37.61
2023 09 20 21	0.148	38.41
2023 09 20 22	0.155	40.04
2023 09 20 23	0.152	45.26
2023 09 21 00	0.146	50.24
2023 09 21 01	0.147	51.34
2023 09 21 02	0.147	54.91
2023 09 21 03	0.15	57.79
2023 09 21 04	0.158	55.8
2023 09 21 05	0.17	51.91
2023 09 21 06	0.18	49.05
2023 09 21 07	0.187	48.23
2023 09 21 08	0.193	47.72
2023 09 21 09	0.2	46.21
2023 09 21 10	0.202	44.59
2023 09 21 11	0.195	43.75
2023 09 21 12	0.181	44.1
2023 09 21 13	0.159	45.0
2023 09 21 14	0.138	46.75
2023 09 21 15	0.121	48.68
2023 09 21 16	0.109	47.97
2023 09 21 17	0.104	47.32
2023 09 21 18	0.107	45.0
2023 09 21 19	0.117	41.55
2023 09 21 20	0.135	37.2
2023 09 21 21	0.146	35.53
2023 09 21 22	0.149	35.18
2023 09 21 23	0.142	35.58
2023 09 22 00	0.129	37.75
2023 09 22 01	0.11	40.6
2023 09 22 02	0.089	44.54
2023 09 22 03	0.072	49.48
2023 09 22 04	0.059	52.54
2023 09 22 05	0.051	54.46
2023 09 22 06	0.05	50.63
2023 09 22 07	0.056	45.0
2023 09 22 08	0.068	40.23
2023 09 22 09	0.081	36.02
2023 09 22 10	0.092	31.8
2023 09 22 11	0.098	30.46
2023 09 22 12	0.096	31.87
2023 09 22 13	0.086	35.15
2023 09 22 14	0.071	41.03
2023 09 22 15	0.055	47.93
2023 09 22 16	0.039	58.29
2023 09 22 17	0.029	74.05
2023 09 22 18	0.023	85.03
2023 09 22 19	0.02	73.3
2023 09 22 20	0.024	48.36
2023 09 22 21	0.033	32.73
2023 09 22 22	0.04	24.67
2023 09 22 23	0.042	18.0
2023 09 23 00	0.033	11.97
2023 09 23 01	0.021	5.44
2023 09 23 02	0.008	339.44
2023 09 23 03	0.009	237.99
2023 09 23 04	0.02	212.9
2023 09 23 05	0.027	210.25
2023 09 23 06	0.032	211.26
2023 09 23 07	0.032	211.26
2023 09 23 08	0.026	217.3
2023 09 23 09	0.016	227.48
2023 09 23 10	0.008	255.96
2023 09 23 11	0.005	281.3
2023 09 23 12	0.007	236.3
2023 09 23 13	0.014	224.99
2023 09 23 14	0.023	226.73
2023 09 23 15	0.033	228.65
2023 09 23 16	0.041	229.84
2023 09 23 17	0.047	235.3
2023 09 23 18	0.043	244.02
2023 09 23 19	0.035	260.27
2023 09 23 20	0.027	284.53
2023 09 23 21	0.027	316.46
2023 09 23 22	0.035	343.61
2023 09 23 23	0.044	358.69
2023 09 24 00	0.051	6.7
2023 09 24 01	0.052	10.88
2023 09 24 02	0.049	14.03
2023 09 24 03	0.038	16.55
2023 09 24 04	0.024	19.17
2023 09 24 05	0.009	18.43
2023 09 24 06	0.003	198.43
2023 09 24 07	0.011	199.98
2023 09 24 08	0.013	202.61
2023 09 24 09	0.008	209.74
2023 09 24 10	0.002	296.56
2023 09 24 11	0.009	0.0
2023 09 24 12	0.016	7.12
2023 09 24 13	0.025	6.84
2023 09 24 14	0.031	7.35
2023 09 24 15	0.032	7.12
2023 09 24 16	0.025	6.84
2023 09 24 17	0.015	3.81
2023 09 24 18	0.004	333.43
2023 09 24 19	0.006	260.53
2023 09 24 20	0.013	216.02
2023 09 24 21	0.015	216.86
2023 09 24 22	0.01	228.81
2023 09 24 23	0.006	269.99
2023 09 25 00	0.01	330.94
2023 09 25 01	0.016	345.96
2023 09 25 02	0.018	347.47
2023 09 25 03	0.017	339.44
2023 09 25 04	0.011	307.87
2023 09 25 05	0.013	247.38
2023 09 25 06	0.025	218.65
2023 09 25 07	0.039	210.46
2023 09 25 08	0.048	210.76
2023 09 25 09	0.053	212.79
2023 09 25 10	0.056	218.5
2023 09 25 11	0.057	225.7
2023 09 25 12	0.051	235.37
2023 09 25 13	0.04	252.89
2023 09 25 14	0.037	274.63
2023 09 25 15	0.037	285.52
2023 09 25 16	0.038	283.67
2023 09 25 17	0.039	269.99
2023 09 25 18	0.041	250.25
2023 09 25 19	0.049	230.79
2023 09 25 20	0.056	218.5
2023 09 25 21	0.058	213.14
2023 09 25 22	0.053	211.32
2023 09 25 23	0.042	209.57
2023 09 26 00	0.028	209.24
2023 09 26 01	0.014	213.69
2023 09 26 02	0.005	248.19
2023 09 26 03	0.005	306.86
2023 09 26 04	0.005	291.8
2023 09 26 05	0.009	224.99
2023 09 26 06	0.024	206.56
2023 09 26 07	0.042	204.77
2023 09 26 08	0.059	203.96
2023 09 26 09	0.07	205.11
2023 09 26 10	0.074	207.25
2023 09 26 11	0.069	210.96
2023 09 26 12	0.059	218.21
2023 09 26 13	0.045	230.35
2023 09 26 14	0.035	253.61
2023 09 26 15	0.033	276.91
2023 09 26 16	0.035	292.98
2023 09 26 17	0.034	293.62
2023 09 26 18	0.032	284.03
2023 09 26 19	0.034	263.29
2023 09 26 20	0.038	246.8
2023 09 26 21	0.041	236.68
2023 09 26 22	0.042	232.59
2023 09 26 23	0.041	229.84
2023 09 27 00	0.032	231.34
2023 09 27 01	0.024	240.25
2023 09 27 02	0.018	257.47
2023 09 27 03	0.015	277.59
2023 09 27 04	0.013	282.99
2023 09 27 05	0.011	259.69
2023 09 27 06	0.017	215.53
2023 09 27 07	0.031	200.13
2023 09 27 08	0.047	194.62
2023 09 27 09	0.062	192.03
2023 09 27 10	0.071	191.3
2023 09 27 11	0.078	190.3
2023 09 27 12	0.075	191.45
2023 09 27 13	0.061	196.96
2023 09 27 14	0.044	205.4
2023 09 27 15	0.029	223.6
2023 09 27 16	0.02	255.96
2023 09 27 17	0.02	278.53
2023 09 27 18	0.022	277.76
2023 09 27 19	0.025	281.3
2023 09 27 20	0.027	276.34
2023 09 27 21	0.027	255.46
2023 09 27 22	0.03	242.59
2023 09 27 23	0.027	239.74
2023 09 28 00	0.02	255.96
2023 09 28 01	0.017	293.62
2023 09 28 02	0.025	336.5
2023 09 28 03	0.036	352.09
2023 09 28 04	0.044	357.39
2023 09 28 05	0.045	0.0
2023 09 28 06	0.035	358.36
2023 09 28 07	0.012	331.38
2023 09 28 08	0.02	216.86
2023 09 28 09	0.046	205.46
2023 09 28 10	0.068	203.96
2023 09 28 11	0.082	204.38
2023 09 28 12	0.085	208.07
2023 09 28 13	0.074	214.11
2023 09 28 14	0.057	225.7
2023 09 28 15	0.038	252.03
2023 09 28 16	0.033	296.56
2023 09 28 17	0.043	329.93
2023 09 28 18	0.054	343.9
2023 09 28 19	0.058	351.17
2023 09 28 20	0.046	357.51
2023 09 28 21	0.026	0.0
2023 09 28 22	0.006	0.0
2023 09 28 23	0.008	187.12
2023 09 29 00	0.013	188.74
2023 09 29 01	0.01	191.3
2023 09 29 02	0.002	224.99
2023 09 29 03	0.01	0.0
2023 09 29 04	0.024	2.38
2023 09 29 05	0.035	4.89
2023 09 29 06	0.038	7.49
2023 09 29 07	0.032	8.88
2023 09 29 08	0.017	6.7
2023 09 29 09	0.004	224.99
2023 09 29 10	0.025	200.55
2023 09 29 11	0.047	202.24
2023 09 29 12	0.063	205.34
2023 09 29 13	0.065	211.26
2023 09 29 14	0.058	220.81
2023 09 29 15	0.046	236.3
2023 09 29 16	0.036	262.09
2023 09 29 17	0.034	288.43
2023 09 29 18	0.039	300.46
2023 09 29 19	0.043	304.77
2023 09 29 20	0.04	294.67
2023 09 29 21	0.037	266.9
2023 09 29 22	0.042	238.57
