Valor nulo: -9999.9		
Fecha (GMT)	Velocidad media de Corriente(m/s)	Dir. de prop. de la Corriente (0=N,90=E)
2023 06 22 16	0.053	357.83
2023 06 22 17	0.062	356.3
2023 06 22 18	0.069	355.85
2023 06 22 19	0.074	356.9
2023 06 22 20	0.08	359.28
2023 06 22 21	0.084	2.04
2023 06 22 22	0.082	4.18
2023 06 22 23	0.077	6.66
2023 06 23 00	0.069	7.43
2023 06 23 01	0.06	7.59
2023 06 23 02	0.054	6.34
2023 06 23 03	0.05	3.43
2023 06 23 04	0.048	0.0
2023 06 23 05	0.046	357.51
2023 06 23 06	0.045	356.18
2023 06 23 07	0.041	354.42
2023 06 23 08	0.038	352.5
2023 06 23 09	0.033	348.02
2023 06 23 10	0.029	344.05
2023 06 23 11	0.025	331.38
2023 06 23 12	0.024	314.99
2023 06 23 13	0.025	308.65
2023 06 23 14	0.029	309.55
2023 06 23 15	0.033	314.99
2023 06 23 16	0.038	321.34
2023 06 23 17	0.043	326.3
2023 06 23 18	0.048	327.61
2023 06 23 19	0.052	330.52
2023 06 23 20	0.056	333.88
2023 06 23 21	0.058	336.92
2023 06 23 22	0.057	339.67
2023 06 23 23	0.053	340.2
2023 06 24 00	0.043	335.77
2023 06 24 01	0.034	326.76
2023 06 24 02	0.03	316.33
2023 06 24 03	0.028	309.28
2023 06 24 04	0.03	308.36
2023 06 24 05	0.033	312.61
2023 06 24 06	0.036	317.2
2023 06 24 07	0.038	319.23
2023 06 24 08	0.035	317.29
2023 06 24 09	0.028	309.28
2023 06 24 10	0.022	288.43
2023 06 24 11	0.023	247.75
2023 06 24 12	0.033	226.21
2023 06 24 13	0.039	218.88
2023 06 24 14	0.041	215.21
2023 06 24 15	0.037	217.47
2023 06 24 16	0.028	224.99
2023 06 24 17	0.015	255.06
2023 06 24 18	0.015	328.39
2023 06 24 19	0.029	1.97
2023 06 24 20	0.04	20.22
2023 06 24 21	0.053	46.5
2023 06 24 22	0.059	65.15
