Date/Time (AEST),Hs (m),Hmax (m),Tz (s),Tp (s),Peak Direction (degrees),SST (degrees C)
2022-01-01T00:00,2.678,4.863,5.937,8.696,89.76,25.240
2022-01-01T00:30,2.538,4.139,6.038,8.000,97.05,25.240
2022-01-01T01:00,2.696,4.178,6.085,8.333,83.52,25.240
2022-01-01T01:30,2.463,3.844,5.906,8.696,82.81,25.240
2022-01-01T02:00,2.528,4.096,5.842,8.000,84.66,25.140
2022-01-01T02:30,2.349,3.746,5.788,8.696,82.81,25.140
2022-01-01T03:00,2.402,3.685,5.986,8.333,88.88,25.140
2022-01-01T03:30,2.356,3.783,5.799,8.000,87.38,25.140
2022-01-01T04:00,2.349,4.075,5.766,8.333,88.70,25.140
2022-01-01T04:30,2.367,4.033,5.770,8.000,89.76,25.140
2022-01-01T05:00,2.304,3.847,5.801,8.696,82.99,25.140
2022-01-01T05:30,2.463,4.334,5.778,8.333,89.58,25.140
2022-01-01T06:00,2.475,3.916,5.732,8.333,83.69,25.140
2022-01-01T06:30,2.429,4.251,5.828,8.000,85.71,25.240
2022-01-01T07:00,2.491,4.960,5.789,8.000,82.90,25.240
2022-01-01T07:30,2.713,4.883,5.943,8.000,82.64,25.240
2022-01-01T08:00,2.263,3.709,5.636,8.333,76.48,25.100
2022-01-01T08:30,2.320,4.121,5.594,7.407,79.65,25.100
2022-01-01T09:00,2.315,3.658,5.349,8.333,80.35,25.050
2022-01-01T09:30,2.484,3.738,5.875,8.333,75.52,25.050
2022-01-01T10:00,2.292,3.952,5.735,8.333,83.52,25.050
2022-01-01T10:30,2.406,4.109,5.904,7.692,78.15,25.100
2022-01-01T11:00,2.493,4.417,6.224,8.333,77.89,25.100
2022-01-01T11:30,2.481,4.468,6.165,8.333,78.51,25.050
2022-01-01T12:00,2.394,4.034,5.895,8.696,80.79,25.000
2022-01-01T12:30,2.526,4.601,6.375,8.000,86.59,25.000
2022-01-01T13:00,2.281,3.967,5.949,8.696,75.87,25.000
2022-01-01T13:30,2.397,4.008,6.276,9.524,74.02,25.000
2022-01-01T14:00,2.315,4.151,5.906,9.091,73.67,25.000
2022-01-01T14:30,2.310,3.789,6.232,8.696,78.68,25.000
2022-01-01T15:00,2.253,4.001,6.050,8.333,81.14,25.000
2022-01-01T15:30,2.450,3.904,6.178,9.091,71.38,25.140
2022-01-01T16:00,2.416,4.146,6.378,8.333,78.33,25.240
2022-01-01T16:30,2.251,3.731,6.568,9.091,73.85,25.240
2022-01-01T17:00,2.348,3.588,6.265,9.091,81.85,25.280
2022-01-01T17:30,2.380,3.915,6.306,9.091,74.37,25.280
2022-01-01T18:00,2.228,3.680,6.410,9.091,76.75,25.240
2022-01-01T18:30,2.157,3.550,6.372,8.696,73.49,25.280
2022-01-01T19:00,2.207,3.308,6.395,8.696,77.36,25.280
2022-01-01T19:30,2.320,4.096,6.432,9.524,72.18,25.280
2022-01-01T20:00,2.330,4.168,6.531,8.696,79.30,25.280
2022-01-01T20:30,2.209,3.556,6.336,8.333,79.38,25.240
2022-01-01T21:00,2.412,4.479,6.246,8.333,76.31,25.240
2022-01-01T21:30,2.319,3.975,6.021,9.524,75.78,25.240
2022-01-01T22:00,2.358,4.168,6.191,9.091,80.18,25.240
2022-01-01T22:30,2.403,3.752,6.357,9.091,71.56,25.280
2022-01-01T23:00,2.531,3.999,6.572,8.696,81.76,25.280
2022-01-01T23:30,2.512,4.287,6.766,9.091,66.64,25.240
2022-01-02T00:00,2.503,3.772,6.299,8.696,79.56,25.240
2022-01-02T00:30,2.471,3.881,6.546,9.091,79.12,25.240
2022-01-02T01:00,2.433,3.793,6.546,9.524,68.92,25.240
2022-01-02T01:30,2.525,4.184,6.763,9.524,79.03,25.280
2022-01-02T02:00,2.510,4.608,6.295,9.524,73.23,25.280
2022-01-02T02:30,2.710,4.487,6.538,9.524,73.49,25.240
2022-01-02T03:00,2.595,3.931,6.185,9.524,72.00,25.240
2022-01-02T03:30,2.622,3.862,6.313,10.000,68.92,25.240
2022-01-02T04:00,2.586,4.199,6.201,9.091,74.81,25.240
2022-01-02T04:30,2.693,4.454,6.240,9.524,67.69,25.190
2022-01-02T05:00,2.570,3.763,6.422,9.524,67.69,25.140
2022-01-02T05:30,2.835,4.722,6.857,9.524,69.45,25.140
2022-01-02T06:00,2.639,4.682,6.370,10.000,74.29,25.140
2022-01-02T06:30,2.691,3.736,6.406,10.000,68.31,25.100
2022-01-02T07:00,2.603,3.948,6.333,10.000,74.11,25.100
2022-01-02T07:30,2.581,5.044,5.921,10.000,71.47,25.100
2022-01-02T08:00,2.586,4.316,6.302,10.000,73.93,25.100
2022-01-02T08:30,2.661,4.449,6.415,9.524,74.73,25.100
2022-01-02T09:00,2.614,4.465,6.210,10.000,70.24,25.100
2022-01-02T09:30,2.532,3.758,6.236,10.526,76.75,25.100
2022-01-02T10:00,2.601,3.858,6.554,9.524,75.69,25.100
2022-01-02T10:30,2.574,4.187,6.444,10.526,70.15,25.100
2022-01-02T11:00,2.927,4.855,6.795,10.526,79.56,25.100
2022-01-02T11:30,-99.9,-99.9,-99.9,-99.9,-99.9,25.140
2022-01-02T12:00,-99.9,-99.9,-99.9,-99.9,-99.9,25.100
2022-01-02T12:30,-99.9,-99.9,-99.9,-99.9,-99.9,25.100
2022-01-02T13:00,-99.9,-99.9,-99.9,-99.9,-99.9,25.100
2022-01-02T13:30,-99.9,-99.9,-99.9,-99.9,-99.9,25.100
2022-01-02T14:00,3.330,5.252,7.173,10.526,74.64,25.140
2022-01-02T14:30,3.354,5.950,7.217,11.111,69.80,25.100
