Date/Time (AEST),Hs (m),Hmax (m),Tz (s),Tp (s),Peak Direction (degrees),SST (degrees C)
2023-01-01T00:00,1.935,2.955,6.356,9.524,90.56,25.660
2023-01-01T00:30,1.935,2.817,6.333,11.111,95.49,25.660
2023-01-01T01:00,1.769,3.137,5.926,10.526,112.19,25.660
2023-01-01T01:30,1.838,3.504,6.298,11.111,103.84,25.610
2023-01-01T02:00,1.789,3.332,6.199,10.526,79.84,25.610
2023-01-01T02:30,1.777,3.204,6.330,11.765,81.42,25.610
2023-01-01T03:00,1.942,3.234,6.817,11.111,92.32,25.660
2023-01-01T03:30,1.897,3.105,6.298,11.111,90.30,25.610
2023-01-01T04:00,1.849,2.971,6.433,11.111,87.66,25.610
2023-01-01T04:30,1.921,3.030,6.573,11.111,93.38,25.560
2023-01-01T05:00,2.061,3.270,6.596,11.111,95.75,25.560
2023-01-01T05:30,1.874,3.678,5.436,11.111,95.31,25.560
2023-01-01T06:00,1.888,3.040,6.463,11.111,95.22,25.520
2023-01-01T06:30,2.034,3.581,6.481,11.765,97.86,25.520
2023-01-01T07:00,1.958,3.323,6.783,10.526,87.75,25.470
2023-01-01T07:30,1.932,3.276,6.410,10.526,89.42,25.470
2023-01-01T08:00,2.165,3.786,7.148,10.526,90.74,25.420
2023-01-01T08:30,-99.9,-99.9,-99.9,-99.9,97.07,25.420
2023-01-01T09:00,-99.9,-99.9,-99.9,-99.9,89.68,25.420
2023-01-01T09:30,-99.9,-99.9,-99.9,-99.9,87.13,25.420
2023-01-01T10:00,-99.9,-99.9,-99.9,-99.9,76.15,25.470
2023-01-01T10:30,-99.9,-99.9,-99.9,-99.9,94.96,25.470
2023-01-01T11:00,-99.9,-99.9,-99.9,-99.9,91.09,25.520
2023-01-01T11:30,-99.9,-99.9,-99.9,-99.9,86.78,25.560
2023-01-01T12:00,-99.9,-99.9,-99.9,-99.9,90.21,25.560
2023-01-01T12:30,-99.9,-99.9,-99.9,-99.9,86.87,25.610
2023-01-01T13:00,-99.9,-99.9,-99.9,-99.9,90.47,25.660
2023-01-01T13:30,-99.9,-99.9,-99.9,-99.9,82.91,25.660
2023-01-01T14:00,-99.9,-99.9,-99.9,-99.9,89.95,25.700
2023-01-01T14:30,-99.9,-99.9,-99.9,-99.9,83.53,25.660
2023-01-01T15:00,2.207,3.840,7.189,10.526,91.18,25.700
2023-01-01T15:30,2.150,3.208,7.068,10.000,97.60,25.700
2023-01-01T16:00,2.200,3.554,7.375,11.111,89.60,25.750
2023-01-01T16:30,2.090,3.361,6.859,10.000,76.85,25.750
