datetime,wave_height
2021-04-03,1.06
2021-04-04,1.87
2021-04-05,1.49
2021-04-06,0.97
2021-04-07,1.7
2021-04-08,2.51
2021-04-09,1.65
2021-04-10,0.63
2021-04-11,0.79
2021-04-12,1.62
2021-04-13,1.88
2021-04-14,2.64
2021-04-15,2.13
2021-04-16,1.93
2021-04-17,1.47
2021-04-18,1.08
2021-04-19,1.54
2021-04-20,1.59
2021-04-21,1.25
2021-04-22,1.4
2021-04-23,1.32
2021-04-24,1.0
2021-04-25,0.93
2021-04-26,1.32
2021-04-27,1.26
2021-04-28,1.11
2021-04-29,0.8
2021-04-30,0.95
2021-05-01,0.9
2021-05-02,0.71
2021-05-03,0.75
2021-05-04,0.91
2021-05-05,1.69
2021-05-06,1.68
2021-05-07,1.37
2021-05-08,1.48
2021-05-09,1.06
2021-05-10,1.61
2021-05-11,1.72
2021-05-12,2.16
2021-05-13,2.79
2021-05-14,1.56
2021-05-15,1.27
2021-05-16,1.12
2021-05-17,2.46
2021-05-18,2.24
2021-05-19,1.16
2021-05-20,0.8
2021-05-21,1.3
2021-05-22,1.98
2021-05-23,1.94
2021-05-24,1.18
2021-05-25,2.78
2021-05-26,2.51
2021-05-27,1.46
2021-05-28,1.31
2021-05-29,0.94
2021-05-30,0.99
2021-05-31,0.95
2021-06-01,0.96
2021-06-02,1.06
2021-06-03,1.03
2021-06-04,1.29
2021-06-05,1.06
2021-06-06,1.39
2021-06-07,1.11
2021-06-08,1.22
2021-06-09,1.03
2021-06-10,0.72
2021-06-11,0.94
2021-06-12,0.82
2021-06-13,0.9
2021-06-14,0.92
2021-06-15,1.03
2021-06-16,1.11
2021-06-17,1.56
2021-06-18,1.97
2021-06-19,1.96
2021-06-20,1.26
2021-06-21,1.08
2021-06-22,2.03
2021-06-23,2.07
2021-06-24,1.75
2021-06-25,1.07
2021-06-26,0.64
2021-06-27,0.54
2021-06-28,1.63
2021-06-29,2.08
2021-06-30,1.96
2021-07-01,0.76
2021-07-02,0.67
2021-07-03,0.49
2021-07-04,0.41
2021-07-05,0.54
2021-07-06,1.87
2021-07-07,1.83
2021-07-08,1.46
2021-07-09,0.99
2021-07-10,0.86
2021-07-11,0.7
2021-07-12,0.92
2021-07-13,2.21
2021-07-14,1.66
2021-07-15,1.07
2021-07-16,0.99
2021-07-17,1.31
2021-07-18,1.31
2021-07-19,0.94
2021-07-20,0.61
2021-07-21,0.61
2021-07-22,0.61
2021-07-23,0.45
2021-07-24,0.46
2021-07-25,1.04
2021-07-26,0.94
2021-07-27,0.47
2021-07-28,0.72
2021-07-29,0.84
2021-07-30,0.93
2021-07-31,1.42
2021-08-01,1.36
2021-08-02,1.0
2021-08-03,0.7
2021-08-04,0.84
2021-08-05,1.32
2021-08-06,2.16
2021-08-07,1.92
2021-08-08,1.97
2021-08-09,1.28
2021-08-10,1.12
2021-08-11,0.78
2021-08-12,0.76
2021-08-13,0.74
2021-08-14,1.63
2021-08-15,1.26
2021-08-16,0.84
2021-08-17,1.06
2021-08-18,0.97
2021-08-19,0.68
2021-08-20,1.09
2021-08-21,0.94
2021-08-22,0.62
2021-08-23,0.81
2021-08-24,1.21
2021-08-25,1.37
2021-08-26,1.3
2021-08-27,1.04
2021-08-28,1.0
2021-08-29,1.45
2021-08-30,1.31
2021-08-31,1.26
2021-09-01,1.52
2021-09-02,1.45
2021-09-03,1.19
2021-09-04,0.79
2021-09-05,0.42
2021-09-06,0.66
2021-09-07,1.08
2021-09-08,0.95
2021-09-09,0.55
2021-09-10,0.67
2021-09-11,0.91
2021-09-12,1.05
2021-09-13,0.97
2021-09-14,0.96
2021-09-15,0.96
2021-09-16,1.62
2021-09-17,1.65
2021-09-18,1.15
2021-09-19,2.06
2021-09-20,1.31
2021-09-21,1.34
2021-09-22,1.33
2021-09-23,1.57
2021-09-24,1.17
2021-09-25,1.25
2021-09-26,1.18
2021-09-27,0.88
2021-09-28,1.42
2021-09-29,1.78
2021-09-30,1.73
2021-10-01,1.44
2021-10-02,1.53
2021-10-03,1.42
2021-10-04,2.65
2021-10-05,1.84
2021-10-06,2.12
2021-10-07,1.64
2021-10-08,2.04
2021-10-09,1.98
2021-10-10,1.38
2021-10-11,1.12
2021-10-12,1.71
2021-10-13,1.55
2021-10-14,1.94
2021-10-15,1.69
2021-10-16,0.66
2021-10-17,0.52
2021-10-18,0.41
2021-10-19,0.6
2021-10-20,0.72
2021-10-21,3.11
2021-10-22,3.09
2021-10-23,1.67
2021-10-24,1.13
2021-10-25,0.92
2021-10-26,1.7
2021-10-27,1.57
2021-10-28,1.35
2021-10-29,1.24
2021-10-30,1.59
2021-10-31,1.53
2021-11-01,1.75
2021-11-02,2.74
2021-11-03,2.85
2021-11-04,2.03
2021-11-05,2.1
2021-11-06,1.64
2021-11-07,1.14
2021-11-08,0.77
2021-11-09,1.26
2021-11-10,1.23
2021-11-11,1.41
2021-11-12,1.52
2021-11-13,2.19
2021-11-14,2.2
2021-11-15,1.44
2021-11-16,1.52
2021-11-17,1.55
2021-11-18,1.83
2021-11-19,2.38
2021-11-20,2.08
2021-11-21,1.25
2021-11-22,1.18
2021-11-23,4.01
2021-11-24,3.08
2021-11-25,2.65
2021-11-26,2.58
2021-11-27,2.51
2021-11-28,5.25
2021-11-29,4.93
2021-11-30,3.14
2021-12-01,1.57
2021-12-02,2.81
2021-12-03,3.07
2021-12-04,2.33
2021-12-05,3.25
2021-12-06,5.04
2021-12-07,2.94
2021-12-08,3.29
2021-12-09,4.44
2021-12-10,3.74
2021-12-11,3.73
2021-12-12,3.3
2021-12-13,2.63
2021-12-14,2.32
2021-12-15,1.66
2021-12-16,1.76
2021-12-17,2.15
2021-12-18,2.1
2021-12-19,1.2
2021-12-20,0.85
2021-12-21,0.82
2021-12-22,0.84
2021-12-23,0.69
2021-12-24,1.61
2021-12-25,1.66
2021-12-26,1.35
2021-12-27,1.08
2021-12-28,1.82
2021-12-29,2.13
2021-12-30,1.35
2021-12-31,1.29
2022-01-01,0.87
2022-01-02,0.85
2022-01-03,0.78
2022-01-04,1.29
2022-01-05,2.08
2022-01-06,2.08
2022-01-07,1.39
2022-01-08,3.49
2022-01-09,3.7
2022-01-10,4.37
2022-01-11,3.98
2022-01-12,2.05
2022-01-13,2.57
2022-01-14,2.09
2022-01-15,1.37
2022-01-16,0.97
2022-01-17,1.11
2022-01-18,1.78
2022-01-19,1.37
2022-01-20,0.79
2022-01-21,1.53
2022-01-22,1.83
2022-01-23,1.89
2022-01-24,1.5
2022-01-25,1.0
2022-01-26,0.85
2022-01-27,1.79
2022-01-28,1.41
2022-01-29,1.71
2022-01-30,1.61
2022-01-31,1.63
2022-02-01,1.38
2022-02-02,1.68
2022-02-03,1.76
2022-02-04,1.75
2022-02-05,1.11
2022-02-06,1.74
2022-02-07,2.55
2022-02-08,3.14
2022-02-09,2.56
2022-02-10,3.0
2022-02-11,2.87
2022-02-12,2.91
2022-02-13,2.15
2022-02-14,2.44
2022-02-15,3.27
2022-02-16,2.46
2022-02-17,2.27
2022-02-18,2.44
2022-02-19,3.13
2022-02-20,2.94
2022-02-21,2.3
2022-02-22,4.43
2022-02-23,4.35
2022-02-24,2.16
2022-02-25,3.76
2022-02-26,4.02
2022-02-27,3.73
2022-02-28,1.82
2022-03-01,1.97
2022-03-02,1.93
2022-03-03,1.95
2022-03-04,2.16
2022-03-05,2.39
2022-03-06,2.12
2022-03-07,2.07
2022-03-08,1.57
2022-03-09,1.33
2022-03-10,1.28
2022-03-11,1.62
2022-03-12,2.38
2022-03-13,2.23
2022-03-14,2.39
2022-03-15,3.36
2022-03-16,2.52
2022-03-17,2.63
2022-03-18,2.79
2022-03-19,2.4
2022-03-20,2.24
2022-03-21,1.22
2022-03-22,1.41
2022-03-23,1.75
2022-03-24,1.82
2022-03-25,1.73
2022-03-26,1.32
2022-03-27,1.27
2022-03-28,1.04
2022-03-29,0.82
2022-03-30,0.59
2022-03-31,1.16
2022-04-01,2.44
2022-04-02,2.43
2022-04-03,1.62
2022-04-04,1.32
2022-04-05,1.24
2022-04-06,0.8
2022-04-07,1.19
2022-04-08,2.23
2022-04-09,3.01
2022-04-10,1.77
2022-04-11,1.46
2022-04-12,1.26
2022-04-13,1.11
2022-04-14,0.92
2022-04-15,0.73
2022-04-16,0.98
2022-04-17,0.88
2022-04-18,0.96
2022-04-19,1.23
2022-04-20,1.35
2022-04-21,2.05
2022-04-22,1.83
2022-04-23,2.32
2022-04-24,2.75
2022-04-25,1.72
2022-04-26,1.03
2022-04-27,1.0
2022-04-28,0.75
2022-04-29,0.66
2022-04-30,0.59
2022-05-01,0.67
2022-05-02,0.66
2022-05-03,0.53
2022-05-04,1.05
2022-05-05,0.86
2022-05-06,0.65
2022-05-07,0.6055357142857143
2022-05-08,0.87
2022-05-09,0.81
2022-05-10,0.76
2022-05-11,1.11
2022-05-12,1.63
2022-05-13,1.66
2022-05-14,1.27
2022-05-15,1.19
2022-05-16,1.19
2022-05-17,0.88
2022-05-18,0.93
2022-05-19,1.2
2022-05-20,0.97
2022-05-21,0.97
2022-05-22,1.17
2022-05-23,1.18
2022-05-24,1.25
2022-05-25,1.42
2022-05-26,1.18
2022-05-27,1.34
2022-05-28,2.0
2022-05-29,2.02
2022-05-30,1.69
2022-05-31,1.66
2022-06-01,1.06
2022-06-02,1.18
2022-06-03,0.86
2022-06-04,0.56
2022-06-05,0.6
2022-06-06,0.54
2022-06-07,0.74
2022-06-08,0.85
2022-06-09,1.07
2022-06-10,0.77
2022-06-11,1.45
2022-06-12,1.31
2022-06-13,1.49
2022-06-14,1.78
2022-06-15,1.45
2022-06-16,1.1
2022-06-17,1.3
2022-06-18,1.46
2022-06-19,1.46
2022-06-20,2.7
2022-06-21,2.19
2022-06-22,1.41
2022-06-23,0.72
2022-06-24,1.06
2022-06-25,1.37
2022-06-26,1.51
2022-06-27,1.91
2022-06-28,2.0
2022-06-29,1.32
2022-06-30,1.73
2022-07-01,1.68
2022-07-02,1.31
2022-07-03,0.94
2022-07-04,1.39
2022-07-05,1.23
2022-07-06,1.31
2022-07-07,1.28
2022-07-08,1.09
2022-07-09,1.13
2022-07-10,1.88
2022-07-11,1.9
2022-07-12,1.94
2022-07-13,1.206011904761905
2022-07-14,1.206011904761905
2022-07-15,1.206011904761905
2022-07-16,1.51
2022-07-17,1.57
2022-07-18,1.6
2022-07-19,1.25
2022-07-20,1.31
2022-07-21,1.26
2022-07-22,1.32
2022-07-23,1.0
2022-07-24,0.9
2022-07-25,0.8
2022-07-26,1.01
2022-07-27,1.31
2022-07-28,1.03
2022-07-29,0.59
2022-07-30,0.42
2022-07-31,0.58
2022-08-01,0.94
2022-08-02,1.15
2022-08-03,0.96
2022-08-04,0.97
2022-08-05,1.45
2022-08-06,1.5
2022-08-07,1.69
2022-08-08,1.52
2022-08-09,1.22
2022-08-10,1.36
2022-08-11,1.18
2022-08-12,1.05
2022-08-13,0.96
2022-08-14,0.7
2022-08-15,1.16
2022-08-16,1.07
2022-08-17,1.95
2022-08-18,2.05
2022-08-19,2.02
2022-08-20,1.62
2022-08-21,2.0
2022-08-22,1.51
2022-08-23,1.26
2022-08-24,1.15
2022-08-25,0.99
2022-08-26,1.35
2022-08-27,1.47
2022-08-28,1.16
2022-08-29,1.11
2022-08-30,1.14
2022-08-31,0.91
2022-09-01,0.48
2022-09-02,0.41
2022-09-03,1.25
2022-09-04,1.03
2022-09-05,0.94
2022-09-06,1.06
2022-09-07,1.37
2022-09-08,1.48
2022-09-09,1.48
2022-09-10,1.16
2022-09-11,1.13
2022-09-12,1.05
2022-09-13,0.77
2022-09-14,0.72
2022-09-15,0.76
2022-09-16,1.04
2022-09-17,1.11
2022-09-18,1.94
2022-09-19,1.97
2022-09-20,1.36
2022-09-21,1.23
2022-09-22,1.14
2022-09-23,0.9
2022-09-24,0.8
2022-09-25,1.3
2022-09-26,1.21
2022-09-27,1.47
2022-09-28,2.4
2022-09-29,2.87
2022-09-30,2.52
2022-10-01,1.71
2022-10-02,1.82
2022-10-03,1.82
2022-10-04,1.69
2022-10-05,1.39
2022-10-06,1.03
2022-10-07,2.06
2022-10-08,1.89
2022-10-09,2.25
2022-10-10,2.09
2022-10-11,1.4648214285714285
2022-10-12,1.71
2022-10-13,1.53
2022-10-14,1.4
2022-10-15,1.44
2022-10-16,1.3
2022-10-17,2.16
2022-10-18,1.6
2022-10-19,1.02
2022-10-20,0.73
2022-10-21,0.67
2022-10-22,1.0
2022-10-23,1.2431410256410256
2022-10-24,1.33
2022-10-25,1.11
2022-10-26,0.8563194444444444
2022-10-27,0.84
2022-10-28,0.89
2022-10-29,1.17
2022-10-30,1.17
2022-10-31,1.07
2022-11-01,2.1
2022-11-02,1.61
2022-11-03,1.89
2022-11-04,2.88
2022-11-05,3.6
2022-11-06,2.24
2022-11-07,2.77
2022-11-08,3.04
2022-11-09,1.8
2022-11-10,2.0
2022-11-11,1.49
2022-11-12,1.33
2022-11-13,1.38
2022-11-14,1.31
2022-11-15,1.59
2022-11-16,2.28
2022-11-17,3.29
2022-11-18,3.27
2022-11-19,2.92
2022-11-20,3.11
2022-11-21,2.24
2022-11-22,4.11
2022-11-23,3.93
2022-11-24,3.23
2022-11-25,3.17
2022-11-26,2.79
2022-11-27,1.97
2022-11-28,1.67
2022-11-29,3.24
2022-11-30,2.84
2022-12-01,2.22
2022-12-02,1.82
2022-12-03,1.77
2022-12-04,2.2
2022-12-05,2.18
2022-12-06,1.24
2022-12-07,1.05
2022-12-08,1.25
2022-12-09,1.39
2022-12-10,2.17
2022-12-11,1.42
2022-12-12,0.63
2022-12-13,1.67
2022-12-14,1.78
2022-12-15,0.8
2022-12-16,1.76
2022-12-17,2.42
2022-12-18,1.46
2022-12-19,0.56
2022-12-20,0.77
2022-12-21,1.0257738095238096
2022-12-22,1.81
2022-12-23,1.78
2022-12-24,1.61
2022-12-25,1.16
2022-12-26,1.03
2022-12-27,1.02
2022-12-28,1.03
2022-12-29,1.41
2022-12-30,2.37
2022-12-31,1.87
2023-01-01,1.2
2023-01-02,1.33
2023-01-03,1.27
2023-01-04,0.95
2023-01-05,1.21
2023-01-06,1.24
2023-01-07,1.06
2023-01-08,1.98
2023-01-09,3.68
2023-01-10,3.71
2023-01-11,2.9
2023-01-12,1.86
2023-01-13,2.89
2023-01-14,2.51
2023-01-15,1.99
2023-01-16,2.87
2023-01-17,5.21
2023-01-18,4.69
2023-01-19,3.52
2023-01-20,3.93
2023-01-21,2.99
2023-01-22,1.51
2023-01-23,1.33
2023-01-24,1.53
2023-01-25,2.707559523809524
2023-01-26,2.707559523809524
2023-01-27,2.41
2023-01-28,2.37
2023-01-29,1.98
2023-01-30,1.48
2023-01-31,1.06
2023-02-01,1.88
2023-02-02,2.15
