Valor nulo: -9999.9		
Fecha (GMT)	Velocidad media de Corriente(m/s)	Dir. de prop. de la Corriente (0=N,90=E)
2021 09 02 11	0.037	73.0
2021 09 02 12	0.044	64.59
2021 09 02 13	0.051	55.37
2021 09 02 14	0.055	50.85
2021 09 02 15	0.056	55.75
2021 09 02 16	0.055	68.96
2021 09 02 17	0.055	83.77
2021 09 02 18	0.058	97.85
2021 09 02 19	0.061	109.02
2021 09 02 20	0.063	116.16
2021 09 02 21	0.062	118.61
2021 09 02 22	0.059	114.84
2021 09 02 23	0.054	104.79
2021 09 03 00	0.055	88.95
2021 09 03 01	0.06	72.75
2021 09 03 02	0.068	64.93
2021 09 03 03	0.074	63.77
2021 09 03 04	0.079	68.6
2021 09 03 05	0.082	80.19
2021 09 03 06	0.085	94.03
2021 09 03 07	0.091	108.43
2021 09 03 08	0.099	118.88
2021 09 03 09	0.106	125.03
2021 09 03 10	0.11	126.55
2021 09 03 11	0.115	126.17
2021 09 03 12	0.114	125.36
2021 09 03 13	0.101	124.15
2021 09 03 14	0.077	124.5
2021 09 03 15	0.047	124.69
2021 09 03 16	0.016	115.01
2021 09 03 17	0.013	347.0
2021 09 03 18	0.031	337.52
2021 09 03 19	0.035	343.61
2021 09 03 20	0.026	4.39
2021 09 03 21	0.024	63.43
2021 09 03 22	0.047	92.43
2021 09 03 23	0.069	98.24
2021 09 04 00	0.086	98.59
2021 09 04 01	0.096	97.71
2021 09 04 02	0.096	95.35
2021 09 04 03	0.09	91.9
2021 09 04 04	0.081	87.17
2021 09 04 05	0.074	85.36
2021 09 04 06	0.069	88.33
2021 09 04 07	0.065	96.14
2021 09 04 08	0.063	106.44
2021 09 04 09	0.067	114.65
2021 09 04 10	0.073	119.35
2021 09 04 11	0.078	118.2
2021 09 04 12	0.079	111.39
2021 09 04 13	0.077	101.16
2021 09 04 14	0.075	84.66
2021 09 04 15	0.077	68.74
2021 09 04 16	0.083	57.26
2021 09 04 17	0.088	54.68
2021 09 04 18	0.088	61.69
2021 09 04 19	0.089	78.43
2021 09 04 20	0.099	98.7
2021 09 04 21	0.115	115.67
2021 09 04 22	0.129	124.91
2021 09 04 23	0.132	127.64
2021 09 05 00	0.124	125.21
2021 09 05 01	0.108	116.32
2021 09 05 02	0.09	100.19
2021 09 05 03	0.083	77.61
2021 09 05 04	0.088	57.92
2021 09 05 05	0.097	47.92
2021 09 05 06	0.097	47.48
2021 09 05 07	0.089	57.38
2021 09 05 08	0.08	77.85
2021 09 05 09	0.083	103.2
2021 09 05 10	0.094	121.17
2021 09 05 11	0.1	130.53
2021 09 05 12	0.092	132.81
2021 09 05 13	0.069	129.17
2021 09 05 14	0.035	102.87
2021 09 05 15	0.038	25.9
2021 09 05 16	0.075	5.33
2021 09 05 17	0.1	4.57
2021 09 05 18	0.108	7.38
2021 09 05 19	0.093	11.07
2021 09 05 20	0.064	22.96
2021 09 05 21	0.034	52.12
2021 09 05 22	0.026	112.61
2021 09 05 23	0.034	133.83
2021 09 06 00	0.041	119.05
2021 09 06 01	0.045	88.72
2021 09 06 02	0.059	58.7
2021 09 06 03	0.082	41.57
2021 09 06 04	0.105	34.14
2021 09 06 05	0.12	32.76
2021 09 06 06	0.117	36.67
2021 09 06 07	0.097	49.59
2021 09 06 08	0.073	77.47
2021 09 06 09	0.073	117.61
2021 09 06 10	0.093	142.39
2021 09 06 11	0.107	152.24
2021 09 06 12	0.105	154.65
2021 09 06 13	0.085	152.83
2021 09 06 14	0.051	142.9
2021 09 06 15	0.019	81.02
2021 09 06 16	0.05	9.09
2021 09 06 17	0.094	3.65
2021 09 06 18	0.119	3.36
2021 09 06 19	0.115	7.98
2021 09 06 20	0.09	18.03
2021 09 06 21	0.061	41.71
2021 09 06 22	0.052	83.41
2021 09 06 23	0.072	110.92
2021 09 07 00	0.133	117.71
2021 09 07 01	0.179	121.29
2021 09 07 02	0.185	122.23
2021 09 07 03	0.181	121.5
2021 09 07 04	0.168	120.67
2021 09 07 05	0.145	120.96
2021 09 07 06	0.122	121.36
2021 09 07 07	0.107	122.06
2021 09 07 08	0.106	125.03
2021 09 07 09	0.116	131.51
2021 09 07 10	0.126	137.87
2021 09 07 11	0.132	140.8
2021 09 07 12	0.134	138.01
2021 09 07 13	0.129	127.13
2021 09 07 14	0.126	110.29
2021 09 07 15	0.138	91.66
2021 09 07 16	0.155	77.39
2021 09 07 17	0.173	67.58
2021 09 07 18	0.182	62.16
2021 09 07 19	0.179	62.86
2021 09 07 20	0.168	71.99
2021 09 07 21	0.157	89.63
2021 09 07 22	0.163	109.32
2021 09 07 23	0.176	122.96
2021 09 08 00	0.179	134.54
2021 09 08 01	0.168	136.92
2021 09 08 02	0.145	133.33
2021 09 08 03	0.12	122.1
2021 09 08 04	0.107	103.39
2021 09 08 05	0.113	83.43
2021 09 08 06	0.13	71.28
2021 09 08 07	0.146	69.58
2021 09 08 08	0.151	75.5
2021 09 08 09	0.149	88.84
2021 09 08 10	0.149	104.68
2021 09 08 11	0.151	117.07
2021 09 08 12	0.147	123.36
2021 09 08 13	0.134	121.91
2021 09 08 14	0.117	111.98
2021 09 08 15	0.118	92.91
2021 09 08 16	0.139	77.15
2021 09 08 17	0.168	69.52
2021 09 08 18	0.199	68.83
2021 09 08 19	0.219	72.8
2021 09 08 20	0.219	81.09
2021 09 08 21	0.214	95.07
2021 09 08 22	0.222	111.94
2021 09 08 23	0.239	124.28
2021 09 09 00	0.251	129.51
2021 09 09 01	0.252	129.36
2021 09 09 02	0.244	124.14
2021 09 09 03	0.236	116.13
2021 09 09 04	0.23	107.17
2021 09 09 05	0.223	98.74
2021 09 09 06	0.216	90.79
2021 09 09 07	0.205	84.7
2021 09 09 08	0.195	83.23
2021 09 09 09	0.186	89.69
2021 09 09 10	0.183	102.9
2021 09 09 11	0.194	117.22
2021 09 09 12	0.212	126.76
2021 09 09 13	0.221	130.96
2021 09 09 14	0.219	130.57
2021 09 09 15	0.209	127.41
2021 09 09 16	0.194	123.28
2021 09 09 17	0.176	116.27
2021 09 09 18	0.158	105.0
2021 09 09 19	0.144	91.19
2021 09 09 20	0.139	82.16
2021 09 09 21	0.142	85.57
2021 09 09 22	0.164	99.8
2021 09 09 23	0.18	110.44
2021 09 10 00	0.199	118.1
2021 09 10 01	0.221	121.31
2021 09 10 02	0.241	121.12
2021 09 10 03	0.258	118.94
2021 09 10 04	0.268	117.51
2021 09 10 05	0.267	117.13
2021 09 10 06	0.25	117.89
2021 09 10 07	0.216	118.1
2021 09 10 08	0.178	114.84
2021 09 10 09	0.154	111.25
2021 09 10 10	0.145	111.43
2021 09 10 11	0.146	116.38
2021 09 10 12	0.156	122.47
2021 09 10 13	0.169	125.38
2021 09 10 14	0.178	124.04
2021 09 10 15	0.18	118.83
2021 09 10 16	0.172	111.06
2021 09 10 17	0.158	100.88
2021 09 10 18	0.146	87.64
2021 09 10 19	0.141	73.61
2021 09 10 20	0.145	63.43
2021 09 10 21	0.144	60.94
2021 09 10 22	0.133	68.43
2021 09 10 23	0.124	87.22
2021 09 11 00	0.134	109.51
2021 09 11 01	0.155	123.99
2021 09 11 02	0.167	128.92
2021 09 11 03	0.165	127.14
2021 09 11 04	0.155	121.02
2021 09 11 05	0.143	110.46
2021 09 11 06	0.134	99.81
2021 09 11 07	0.129	87.78
2021 09 11 08	0.129	75.21
2021 09 11 09	0.133	66.68
2021 09 11 10	0.133	66.51
2021 09 11 11	0.124	76.07
2021 09 11 12	0.119	94.32
2021 09 11 13	0.125	112.47
2021 09 11 14	0.135	122.98
2021 09 11 15	0.137	126.11
2021 09 11 16	0.123	123.81
2021 09 11 17	0.101	116.31
2021 09 11 18	0.075	99.09
2021 09 11 19	0.064	65.4
2021 09 11 20	0.086	38.86
2021 09 11 21	0.113	32.0
2021 09 11 22	0.125	35.59
2021 09 11 23	0.12	47.69
2021 09 12 00	0.111	68.96
2021 09 12 01	0.115	92.48
2021 09 12 02	0.127	107.86
2021 09 12 03	0.136	114.13
2021 09 12 04	0.136	113.74
2021 09 12 05	0.127	110.71
2021 09 12 06	0.111	106.15
2021 09 12 07	0.092	101.79
2021 09 12 08	0.076	93.76
2021 09 12 09	0.064	81.99
2021 09 12 10	0.059	73.39
2021 09 12 11	0.054	77.24
2021 09 12 12	0.046	98.65
2021 09 12 13	0.047	127.34
2021 09 12 14	0.054	145.43
2021 09 12 15	0.049	159.71
2021 09 12 16	0.027	180.0
2021 09 12 17	0.017	293.62
2021 09 12 18	0.056	331.63
2021 09 12 19	0.097	341.37
2021 09 12 20	0.129	349.29
2021 09 12 21	0.154	355.54
2021 09 12 22	0.164	2.44
2021 09 12 23	0.158	11.3
2021 09 13 00	0.139	26.38
2021 09 13 01	0.115	47.45
2021 09 13 02	0.101	72.81
2021 09 13 03	0.101	92.83
2021 09 13 04	0.1	101.53
2021 09 13 05	0.095	103.89
2021 09 13 06	0.089	104.19
2021 09 13 07	0.085	105.66
2021 09 13 08	0.081	106.42
2021 09 13 09	0.075	102.93
2021 09 13 10	0.075	93.05
2021 09 13 11	0.079	87.82
2021 09 13 12	0.089	91.93
2021 09 13 13	0.103	100.55
2021 09 13 14	0.122	111.97
2021 09 13 15	0.137	120.1
2021 09 13 16	0.145	124.67
2021 09 13 17	0.149	126.56
2021 09 13 18	0.153	125.45
2021 09 13 19	0.142	124.13
2021 09 13 20	0.122	119.91
2021 09 13 21	0.103	110.87
2021 09 13 22	0.094	97.27
2021 09 13 23	0.1	88.28
2021 09 14 00	0.113	90.0
2021 09 14 01	0.13	97.5
2021 09 14 02	0.146	105.83
2021 09 14 03	0.16	113.05
2021 09 14 04	0.165	116.1
2021 09 14 05	0.163	114.53
2021 09 14 06	0.157	109.7
2021 09 14 07	0.152	102.85
2021 09 14 08	0.152	95.26
2021 09 14 09	0.156	88.53
2021 09 14 10	0.162	83.26
2021 09 14 11	0.168	80.42
2021 09 14 12	0.172	82.33
2021 09 14 13	0.173	89.66
2021 09 14 14	0.171	102.09
2021 09 14 15	0.17	111.73
2021 09 14 16	0.17	115.36
2021 09 14 17	0.17	113.86
2021 09 14 18	0.166	110.71
2021 09 14 19	0.159	106.38
2021 09 14 20	0.159	98.63
2021 09 14 21	0.17	91.34
2021 09 14 22	0.185	86.28
2021 09 14 23	0.199	83.65
2021 09 15 00	0.226	94.04
2021 09 15 01	0.229	95.23
2021 09 15 02	0.235	99.54
2021 09 15 03	0.241	105.13
2021 09 15 04	0.249	110.39
2021 09 15 05	0.257	114.27
2021 09 15 06	0.264	115.78
2021 09 15 07	0.265	115.4
2021 09 15 08	0.265	113.56
2021 09 15 09	0.262	111.19
2021 09 15 10	0.259	108.43
2021 09 15 11	0.255	105.66
2021 09 15 12	0.251	103.81
2021 09 15 13	0.242	103.34
2021 09 15 14	0.233	105.87
2021 09 15 15	0.234	110.75
2021 09 15 16	0.247	116.66
2021 09 15 17	0.263	122.3
2021 09 15 18	0.273	125.31
2021 09 15 19	0.278	126.08
2021 09 15 20	0.271	124.5
2021 09 15 21	0.259	121.11
2021 09 15 22	0.246	115.52
2021 09 15 23	0.235	109.35
2021 09 16 00	0.222	104.03
2021 09 16 01	0.205	100.37
2021 09 16 02	0.193	98.63
2021 09 16 03	0.184	99.05
2021 09 16 04	0.18	101.18
2021 09 16 05	0.179	102.87
2021 09 16 06	0.181	104.34
2021 09 16 07	0.187	104.18
2021 09 16 08	0.194	102.46
2021 09 16 09	0.201	100.58
2021 09 16 10	0.206	98.36
2021 09 16 11	0.204	95.59
2021 09 16 12	0.197	91.74
2021 09 16 13	0.186	88.15
2021 09 16 14	0.174	85.72
2021 09 16 15	0.163	86.48
2021 09 16 16	0.157	91.82
2021 09 16 17	0.156	100.66
2021 09 16 18	0.16	108.88
2021 09 16 19	0.166	114.41
2021 09 16 20	0.172	116.11
2021 09 16 21	0.175	114.95
2021 09 16 22	0.176	111.62
2021 09 16 23	0.171	105.57
2021 09 17 00	0.166	97.25
2021 09 17 01	0.166	89.3
2021 09 17 02	0.166	82.06
2021 09 17 03	0.17	79.15
2021 09 17 04	0.173	81.4
2021 09 17 05	0.178	88.39
2021 09 17 06	0.181	98.89
2021 09 17 07	0.185	109.21
2021 09 17 08	0.19	116.16
2021 09 17 09	0.192	119.63
2021 09 17 10	0.188	120.23
2021 09 17 11	0.18	118.83
2021 09 17 12	0.166	115.64
2021 09 17 13	0.148	109.29
2021 09 17 14	0.132	100.45
2021 09 17 15	0.127	90.45
2021 09 17 16	0.152	85.11
2021 09 17 17	0.196	87.66
2021 09 17 18	0.222	94.63
2021 09 17 19	0.253	103.7
2021 09 17 20	0.289	111.87
2021 09 17 21	0.316	116.24
2021 09 17 22	0.337	117.17
2021 09 17 23	0.351	116.93
2021 09 18 00	0.353	115.98
2021 09 18 01	0.347	115.01
2021 09 18 02	0.326	112.71
2021 09 18 03	0.3	108.25
2021 09 18 04	0.282	102.46
2021 09 18 05	0.281	99.59
2021 09 18 06	0.283	100.79
2021 09 18 07	0.281	105.46
2021 09 18 08	0.279	110.96
2021 09 18 09	0.279	115.19
2021 09 18 10	0.271	117.88
2021 09 18 11	0.26	118.13
2021 09 18 12	0.254	115.35
2021 09 18 13	0.245	109.98
2021 09 18 14	0.231	102.95
2021 09 18 15	0.225	96.36
2021 09 18 16	0.233	92.94
2021 09 18 17	0.243	93.53
2021 09 18 18	0.247	97.18
2021 09 18 19	0.246	103.13
2021 09 18 20	0.242	109.78
2021 09 18 21	0.239	116.56
2021 09 18 22	0.229	119.8
2021 09 18 23	0.216	119.28
2021 09 20 00	0.216	129.19
2021 09 20 01	0.199	124.4
2021 09 20 02	0.175	115.68
2021 09 20 03	0.153	101.67
2021 09 20 04	0.144	85.23
2021 09 20 05	0.148	72.41
2021 09 20 06	0.151	69.17
2021 09 20 07	0.147	77.47
2021 09 20 08	0.149	94.98
2021 09 20 09	0.165	113.47
2021 09 20 10	0.189	126.62
2021 09 20 11	0.199	134.18
2021 09 20 12	0.191	136.47
2021 09 20 13	0.177	135.22
2021 09 20 14	0.162	132.51
2021 09 20 15	0.138	129.43
2021 09 20 16	0.106	122.34
2021 09 20 17	0.074	98.45
2021 09 20 18	0.078	63.43
2021 09 20 19	0.096	52.17
2021 09 20 20	0.095	58.31
2021 09 20 21	0.082	78.14
2021 09 20 22	0.078	103.32
2021 09 20 23	0.08	119.74
2021 09 21 00	0.085	114.16
2021 09 21 01	0.089	104.8
2021 09 21 02	0.094	93.04
2021 09 21 03	0.098	80.05
2021 09 21 04	0.107	66.52
2021 09 21 05	0.123	57.2
2021 09 21 06	0.138	54.12
2021 09 21 07	0.141	57.99
2021 09 21 08	0.13	70.73
2021 09 21 09	0.116	93.45
2021 09 21 10	0.113	120.87
2021 09 21 11	0.117	142.64
2021 09 21 12	0.112	157.53
2021 09 21 13	0.094	169.04
2021 09 21 14	0.062	182.77
2021 09 21 15	0.026	229.63
2021 09 21 16	0.043	321.54
2021 09 21 17	0.088	345.65
2021 09 21 18	0.128	356.86
2021 09 21 19	0.149	5.36
2021 09 21 20	0.144	12.78
2021 09 21 21	0.111	15.66
2021 09 21 22	0.072	3.17
2021 09 21 23	0.049	337.55
2021 09 22 00	0.057	297.01
2021 09 22 01	0.068	295.06
2021 09 22 02	0.077	303.48
2021 09 22 03	0.091	316.33
2021 09 22 04	0.109	328.49
2021 09 22 05	0.134	339.94
2021 09 22 06	0.155	349.26
2021 09 22 07	0.162	356.82
2021 09 22 08	0.145	1.97
2021 09 22 09	0.105	3.27
2021 09 22 10	0.056	347.69
2021 09 22 11	0.047	285.78
2021 09 22 12	0.085	263.95
2021 09 22 13	0.122	265.78
2021 09 22 14	0.147	272.72
2021 09 22 15	0.164	283.36
2021 09 22 16	0.186	296.01
2021 09 22 17	0.21	308.44
2021 09 22 18	0.236	319.11
2021 09 22 19	0.261	326.55
2021 09 22 20	0.258	332.84
2021 09 22 21	0.223	334.81
2021 09 22 22	0.171	331.78
2021 09 22 23	0.124	321.84
2021 09 23 00	0.107	300.87
2021 09 23 01	0.121	287.24
2021 09 23 02	0.14	284.82
2021 09 23 03	0.155	288.78
2021 09 23 04	0.162	296.72
2021 09 23 05	0.163	308.05
2021 09 23 06	0.162	321.23
2021 09 23 07	0.16	331.36
2021 09 23 08	0.149	336.7
2021 09 23 09	0.123	335.09
2021 09 23 10	0.093	317.6
2021 09 23 11	0.092	286.28
2021 09 23 12	0.132	270.43
2021 09 23 13	0.183	270.62
2021 09 23 14	0.227	276.56
2021 09 23 15	0.26	285.15
2021 09 23 16	0.28	294.0
2021 09 23 17	0.29	302.92
2021 09 23 18	0.296	312.13
2021 09 23 19	0.295	320.49
2021 09 23 20	0.277	325.56
2021 09 23 21	0.246	324.89
2021 09 23 22	0.216	317.61
2021 09 23 23	0.203	306.42
2021 09 24 00	0.211	297.29
2021 09 24 01	0.23	292.44
2021 09 24 02	0.249	291.84
2021 09 24 03	0.266	294.15
2021 09 24 04	0.28	298.02
2021 09 24 05	0.291	303.25
2021 09 24 06	0.297	309.68
2021 09 24 07	0.293	318.04
2021 09 24 08	0.274	326.42
2021 09 24 09	0.242	331.63
2021 09 24 10	0.201	329.23
2021 09 24 11	0.169	316.9
2021 09 24 12	0.167	301.6
2021 09 24 13	0.186	292.43
2021 09 24 14	0.208	289.91
2021 09 24 15	0.232	291.48
2021 09 24 16	0.255	294.46
2021 09 24 17	0.272	299.66
2021 09 24 18	0.276	308.53
2021 09 24 19	0.266	321.54
2021 09 24 20	0.252	337.9
2021 09 24 21	0.227	346.75
2021 09 24 22	0.177	348.62
2021 09 24 23	0.112	346.08
2021 09 25 00	0.051	326.0
2021 09 25 01	0.033	264.8
2021 09 25 02	0.05	232.22
2021 09 25 03	0.073	233.91
2021 09 25 04	0.093	245.91
2021 09 25 05	0.111	262.81
2021 09 25 06	0.12	280.56
2021 09 25 07	0.117	300.04
2021 09 25 08	0.107	321.42
2021 09 25 09	0.086	340.3
2021 09 25 10	0.042	0.0
2021 09 25 11	0.029	157.83
2021 09 25 12	0.094	182.43
2021 09 25 13	0.139	200.5
2021 09 25 14	0.186	222.6
2021 09 25 15	0.242	243.32
2021 09 25 16	0.278	261.75
2021 09 25 17	0.278	279.49
2021 09 25 18	0.269	296.18
2021 09 25 19	0.253	314.52
2021 09 25 20	0.24	332.79
2021 09 25 21	0.219	348.43
2021 09 25 22	0.182	4.39
2021 09 25 23	0.142	24.04
2021 09 26 00	0.113	52.52
2021 09 26 01	0.094	83.32
2021 09 26 02	0.089	114.55
2021 09 26 03	0.081	134.5
2021 09 26 04	0.058	141.95
2021 09 26 05	0.031	133.72
2021 09 26 06	0.024	94.76
2021 09 26 07	0.037	66.19
2021 09 26 08	0.063	60.59
2021 09 26 09	0.083	64.35
2021 09 26 10	0.086	74.51
2021 09 26 11	0.077	96.66
2021 09 26 12	0.072	124.34
2021 09 26 13	0.059	153.0
2021 09 26 14	0.041	196.69
2021 09 26 15	0.037	251.07
2021 09 26 16	0.042	293.55
2021 09 26 17	0.049	330.83
2021 09 26 18	0.067	1.7
2021 09 26 19	0.087	25.09
2021 09 26 20	0.11	42.06
2021 09 26 21	0.136	55.72
2021 09 26 22	0.167	70.16
2021 09 26 23	0.202	82.91
2021 09 27 00	0.23	92.98
2021 09 27 01	0.254	100.86
2021 09 27 02	0.272	105.77
2021 09 27 03	0.284	108.88
2021 09 27 04	0.293	110.35
2021 09 27 05	0.31	110.36
2021 09 27 06	0.327	109.04
2021 09 27 07	0.317	107.8
2021 09 27 08	0.293	106.45
2021 09 27 09	0.264	103.98
2021 09 27 10	0.234	101.07
2021 09 27 11	0.207	100.28
2021 09 27 12	0.192	101.71
2021 09 27 13	0.191	104.18
2021 09 27 14	0.196	106.22
2021 09 27 15	0.203	105.94
2021 09 27 16	0.204	104.98
2021 09 27 17	0.199	103.89
2021 09 27 18	0.194	103.1
2021 09 27 19	0.188	102.56
2021 09 27 20	0.181	101.74
2021 09 27 21	0.164	100.49
2021 09 27 22	0.142	98.47
2021 09 27 23	0.118	96.28
2021 09 28 00	0.102	94.48
2021 09 28 01	0.088	97.76
2021 09 28 02	0.082	102.68
2021 09 28 03	0.081	106.42
2021 09 28 04	0.084	105.85
2021 09 28 05	0.091	100.08
2021 09 28 06	0.101	93.39
2021 09 28 07	0.11	88.95
2021 09 28 08	0.118	85.63
2021 09 28 09	0.125	83.6
2021 09 28 10	0.132	84.8
2021 09 28 11	0.134	88.71
2021 09 28 12	0.131	95.66
2021 09 28 13	0.128	103.92
2021 09 28 14	0.129	112.79
2021 09 28 15	0.135	117.69
2021 09 28 16	0.141	119.09
2021 09 28 17	0.144	115.85
2021 09 28 18	0.144	108.93
2021 09 28 19	0.15	101.9
2021 09 28 20	0.157	96.94
2021 09 28 21	0.159	92.52
2021 09 28 22	0.157	88.9
2021 09 28 23	0.151	86.96
2021 09 29 00	0.16	86.42
2021 09 29 01	0.147	89.22
2021 09 29 02	0.135	93.39
2021 09 29 03	0.126	98.19
2021 09 29 04	0.121	102.32
2021 09 29 05	0.118	103.21
2021 09 29 06	0.118	103.21
2021 09 29 07	0.121	103.34
2021 09 29 08	0.129	102.96
2021 09 29 09	0.136	102.71
2021 09 29 10	0.143	100.84
2021 09 29 11	0.145	99.46
2021 09 29 12	0.137	98.36
2021 09 29 13	0.124	95.98
2021 09 29 14	0.12	97.12
2021 09 29 15	0.123	101.21
2021 09 29 16	0.125	105.69
2021 09 29 17	0.126	107.43
2021 09 29 18	0.121	105.75
2021 09 29 19	0.119	99.14
2021 09 29 20	0.111	92.06
2021 09 29 21	0.1	82.59
2021 09 29 22	0.089	69.74
2021 09 29 23	0.08	55.12
2021 09 30 00	0.075	39.61
2021 09 30 01	0.074	28.97
2021 09 30 02	0.073	24.12
2021 09 30 03	0.066	25.79
2021 09 30 04	0.06	34.21
2021 09 30 05	0.059	51.18
2021 09 30 06	0.063	67.86
2021 09 30 07	0.074	75.96
2021 09 30 08	0.082	78.82
2021 09 30 09	0.087	77.39
2021 09 30 10	0.089	71.16
2021 09 30 11	0.09	63.71
2021 09 30 12	0.083	55.73
2021 09 30 13	0.053	40.48
2021 09 30 14	0.045	0.0
2021 09 30 15	0.062	340.4
2021 09 30 16	0.077	335.73
2021 09 30 17	0.083	337.43
2021 09 30 18	0.084	346.29
2021 09 30 19	0.084	1.36
2021 09 30 20	0.085	19.92
2021 09 30 21	0.091	36.99
2021 09 30 22	0.101	48.6
2021 09 30 23	0.105	55.4
2021 10 01 00	0.104	58.75
2021 10 01 01	0.094	60.17
2021 10 01 02	0.083	60.67
2021 10 01 03	0.071	63.43
2021 10 01 04	0.049	70.11
2021 10 01 05	0.039	94.39
2021 10 01 06	0.043	124.77
2021 10 01 07	0.055	146.02
2021 10 01 08	0.063	157.86
2021 10 01 09	0.058	165.25
2021 10 01 10	0.042	177.27
2021 10 01 11	0.019	210.46
2021 10 01 12	0.023	306.38
2021 10 01 13	0.05	335.46
2021 10 01 14	0.07	346.94
2021 10 01 15	0.08	356.42
2021 10 01 16	0.076	12.77
2021 10 01 17	0.068	40.87
2021 10 01 18	0.071	75.37
2021 10 01 19	0.08	102.99
2021 10 01 20	0.092	122.13
2021 10 01 21	0.098	133.76
2021 10 01 22	0.09	141.73
2021 10 01 23	0.064	147.05
2021 10 02 00	0.024	150.25
2021 10 02 01	0.013	347.0
2021 10 02 02	0.049	347.09
2021 10 02 03	0.073	352.97
2021 10 02 04	0.084	358.63
2021 10 02 05	0.081	5.64
2021 10 02 06	0.067	14.65
2021 10 02 07	0.046	30.96
2021 10 02 08	0.034	65.69
2021 10 02 09	0.038	98.97
2021 10 02 10	0.043	115.97
2021 10 02 11	0.037	120.69
2021 10 02 12	0.022	113.19
2021 10 02 13	0.012	38.65
2021 10 02 14	0.037	352.3
2021 10 02 15	0.06	348.5
2021 10 02 16	0.07	350.13
2021 10 02 17	0.063	352.76
2021 10 02 18	0.045	356.18
2021 10 02 19	0.018	25.2
2021 10 02 20	0.024	114.44
2021 10 02 21	0.045	120.52
2021 10 02 22	0.063	105.57
2021 10 02 23	0.085	94.03
2021 10 03 00	0.096	90.0
2021 10 03 01	0.082	80.88
2021 10 03 02	0.101	72.27
2021 10 03 03	0.143	75.47
2021 10 03 04	0.187	82.34
2021 10 03 05	0.239	91.67
2021 10 03 06	0.315	100.77
2021 10 03 07	0.388	107.96
2021 10 03 08	0.419	113.75
2021 10 03 09	0.401	117.58
2021 10 03 10	0.348	118.99
2021 10 03 11	0.307	116.89
2021 10 03 12	0.278	111.49
2021 10 03 13	0.268	103.98
2021 10 03 14	0.272	97.38
2021 10 03 15	0.279	93.28
2021 10 03 16	0.287	93.19
2021 10 03 17	0.291	96.49
2021 10 03 18	0.284	101.54
2021 10 03 19	0.259	107.03
2021 10 03 20	0.223	113.46
2021 10 03 21	0.198	118.63
2021 10 03 22	0.183	120.05
2021 10 03 23	0.179	117.13
2021 10 04 00	0.187	112.31
2021 10 04 01	0.195	106.95
2021 10 04 02	0.197	100.79
2021 10 04 03	0.195	94.98
2021 10 04 04	0.191	90.59
2021 10 04 05	0.182	90.0
2021 10 04 06	0.169	95.07
2021 10 04 07	0.16	104.81
2021 10 04 08	0.159	116.4
2021 10 04 09	0.167	125.02
2021 10 04 10	0.18	129.15
2021 10 04 11	0.201	130.16
2021 10 04 12	0.226	129.8
2021 10 04 13	0.24	130.11
2021 10 04 14	0.232	129.58
2021 10 04 15	0.207	125.76
2021 10 04 16	0.173	120.85
2021 10 04 17	0.136	114.3
2021 10 04 18	0.111	109.41
2021 10 04 19	0.096	109.93
2021 10 04 20	0.085	120.16
2021 10 04 21	0.08	135.0
2021 10 04 22	0.079	147.91
2021 10 04 23	0.072	153.78
2021 10 05 00	0.056	153.88
2021 10 05 01	0.036	140.59
2021 10 05 02	0.027	87.87
2021 10 05 03	0.046	55.61
2021 10 05 04	0.068	50.94
2021 10 05 05	0.077	52.83
2021 10 05 06	0.079	65.37
2021 10 05 07	0.08	87.85
2021 10 05 08	0.095	110.9
2021 10 05 09	0.121	125.26
2021 10 05 10	0.147	131.69
2021 10 05 11	0.169	131.88
2021 10 05 12	0.179	128.65
2021 10 05 13	0.179	122.0
2021 10 05 14	0.177	112.94
2021 10 05 15	0.173	102.34
2021 10 05 16	0.171	90.33
2021 10 05 17	0.173	81.4
2021 10 05 18	0.171	76.53
2021 10 05 19	0.154	78.83
2021 10 05 20	0.13	90.88
2021 10 05 21	0.114	110.49
2021 10 05 22	0.111	127.69
2021 10 05 23	0.108	136.12
2021 10 06 00	0.118	133.97
2021 10 06 01	0.102	126.64
2021 10 06 02	0.089	110.85
2021 10 06 03	0.084	89.31
2021 10 06 04	0.089	65.71
2021 10 06 05	0.102	52.9
2021 10 06 06	0.107	49.16
2021 10 06 07	0.093	56.3
2021 10 06 08	0.073	78.23
2021 10 06 09	0.067	112.75
2021 10 06 10	0.075	141.45
2021 10 06 11	0.081	160.01
2021 10 06 12	0.078	176.33
2021 10 06 13	0.063	200.13
2021 10 06 14	0.04	237.09
2021 10 06 15	0.042	311.18
2021 10 06 16	0.086	340.52
2021 10 06 17	0.13	351.62
2021 10 06 18	0.153	358.5
2021 10 06 19	0.141	2.84
2021 10 06 20	0.097	4.12
2021 10 06 21	0.04	354.28
2021 10 06 22	0.019	246.03
2021 10 06 23	0.047	218.08
2021 10 07 00	0.06	216.86
2021 10 07 01	0.055	228.62
2021 10 07 02	0.048	255.67
2021 10 07 03	0.057	294.77
2021 10 07 04	0.084	317.86
2021 10 07 05	0.117	328.2
2021 10 07 06	0.14	332.52
2021 10 07 07	0.143	331.29
2021 10 07 08	0.127	322.32
2021 10 07 09	0.113	301.3
2021 10 07 10	0.127	279.46
2021 10 07 11	0.158	268.54
2021 10 07 12	0.187	268.46
2021 10 07 13	0.209	273.83
