Valor nulo: -9999.9	
Fecha (GMT)	Salinidad(psu)
2020 06 28 03	34.763
2020 06 28 04	34.763
2020 06 28 05	34.763
2020 06 28 06	34.763
2020 06 28 07	34.763
2020 06 28 08	34.763
2020 06 28 09	34.763
2020 06 28 10	34.763
2020 06 28 11	34.763
2020 06 28 12	34.763
2020 06 28 13	34.763
2020 06 28 14	34.763
2020 06 28 15	34.763
2020 06 28 16	34.763
2020 06 28 17	34.763
2020 06 28 18	34.763
2020 06 28 19	34.763
2020 06 28 20	34.763
2020 06 28 21	34.763
2020 06 28 22	34.763
2020 06 28 23	34.763
2020 06 29 00	34.934
2020 06 29 01	34.934
2020 06 29 02	34.934
2020 06 29 03	34.934
2020 06 29 04	34.934
2020 06 29 05	34.934
2020 06 29 06	34.934
2020 06 29 07	34.934
2020 06 29 08	34.934
2020 06 29 09	34.934
2020 06 29 10	34.934
2020 06 29 11	34.934
2020 06 29 12	34.934
2020 06 29 13	34.934
2020 06 29 14	34.934
2020 06 29 15	34.934
2020 06 29 16	34.934
2020 06 29 17	34.934
2020 06 29 18	34.934
2020 06 29 19	34.934
2020 06 29 20	34.934
2020 06 29 21	34.934
2020 06 29 22	34.934
2020 06 29 23	34.934
2020 06 30 00	34.619
2020 06 30 01	34.619
2020 06 30 02	34.619
2020 06 30 03	34.619
2020 06 30 04	34.619
2020 06 30 05	34.619
2020 06 30 06	34.619
2020 06 30 07	34.619
2020 06 30 08	34.619
2020 06 30 09	34.619
2020 06 30 10	34.619
2020 06 30 11	34.619
2020 06 30 12	34.619
2020 06 30 13	34.619
2020 06 30 14	34.619
2020 06 30 15	34.619
2020 06 30 16	34.619
2020 06 30 17	34.619
2020 06 30 18	34.619
2020 06 30 19	34.619
2020 06 30 20	34.619
2020 06 30 21	34.619
2020 06 30 22	34.619
2020 06 30 23	34.619
2020 07 01 00	34.656
2020 07 01 01	34.656
2020 07 01 02	34.656
2020 07 01 03	34.656
2020 07 01 04	34.656
2020 07 01 05	34.656
2020 07 01 06	34.656
2020 07 01 07	34.656
2020 07 01 08	34.656
2020 07 01 09	34.656
2020 07 01 10	34.656
2020 07 01 11	34.656
2020 07 01 12	34.656
2020 07 01 13	34.656
2020 07 01 14	34.656
2020 07 01 15	34.656
2020 07 01 16	34.656
2020 07 01 17	34.656
2020 07 01 18	34.656
2020 07 01 19	34.656
2020 07 01 20	34.656
2020 07 01 21	34.656
2020 07 01 22	34.656
2020 07 01 23	34.656
2020 07 02 00	34.975
2020 07 02 01	34.975
2020 07 02 02	34.975
