Valor nulo: -9999.9												
Fecha (GMT)	Altura Signif. del Oleaje(m)	Periodo Medio(s)	Periodo de Pico(s)	Direcc. Media de Proced.(0=N,90=E)	Mar de viento:  Altura signif. Espectral(m)	Mar de viento: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 1:  Altura signif. Espectral(m)	Mar de fondo 1:  Periodo Medio Espectral(s)	Mar de fondo 1: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 2:  Altura signif. Espectral(m)	Mar de fondo 2:  Periodo Medio Espectral(s)	Mar de fondo 2: Direcc. Media de Proced.(0=N,90=E)
2020 06 20 11	0.56	5.2	8.27	331	0.0	180	0.56	5.19	331	0.01	14.38	79
2020 06 20 12	0.55	5.16	8.27	330	0.0	180	0.55	5.16	330	0.01	14.38	79
2020 06 20 13	0.53	5.14	8.27	330	0.0	180	0.53	5.14	330	0.01	14.38	79
2020 06 20 14	0.51	5.12	7.52	330	0.0	180	0.47	5.56	336	0.19	3.73	295
2020 06 20 15	0.5	5.13	7.52	331	0.0	180	0.46	5.57	336	0.18	3.7	295
2020 06 20 16	0.49	5.17	9.1	331	0.0	180	0.45	5.63	336	0.18	3.66	294
2020 06 20 17	0.49	5.23	10.01	331	0.0	180	0.45	5.83	336	0.17	3.63	294
2020 06 20 18	0.49	5.32	10.01	331	0.0	180	0.4	6.36	340	0.21	4.97	318
2020 06 20 19	0.5	5.41	9.1	331	0.0	180	0.41	6.72	340	0.21	4.75	318
2020 06 20 20	0.51	5.47	9.1	331	0.0	180	0.42	6.95	339	0.28	4.22	309
2020 06 20 21	0.52	5.47	9.1	331	0.0	180	0.43	7.24	338	0.28	4.18	309
2020 06 20 22	0.54	5.43	9.1	331	0.0	180	0.44	7.78	338	0.29	4.18	308
2020 06 20 23	0.54	5.4	9.1	331	0.0	180	0.53	5.9	329	0.07	2.13	89
2020 06 21 00	0.55	5.38	9.1	330	0.0	180	0.54	5.9	328	0.1	2.41	87
2020 06 21 01	0.55	5.38	9.1	329	0.0	180	0.41	6.61	326	0.27	10.03	347
2020 06 21 02	0.55	5.38	8.27	328	0.0	180	0.39	6.8	328	0.26	10.0	347
2020 06 21 03	0.56	5.4	8.27	326	0.0	180	0.49	7.19	331	0.26	3.86	299
2020 06 21 04	0.57	5.42	8.27	324	0.0	180	0.49	7.16	330	0.27	3.99	299
2020 06 21 05	0.58	5.42	8.27	322	0.0	180	0.44	4.93	311	0.44	10.8	335
2020 06 21 06	0.57	5.42	8.27	321	0.0	180	0.45	4.96	311	0.45	11.16	335
2020 06 21 07	0.57	5.44	7.52	320	0.0	180	0.49	5.27	313	0.27	9.04	340
2020 06 21 08	0.57	5.49	7.52	320	0.0	180	0.57	5.78	319	0.08	2.37	81
2020 06 21 09	0.57	5.54	7.52	320	0.0	180	0.49	5.33	312	0.28	9.14	339
2020 06 21 10	0.57	5.62	7.52	320	0.0	180	0.48	5.32	311	0.28	9.09	339
2020 06 21 11	0.58	5.76	8.27	321	0.0	180	0.34	7.27	318	0.29	9.18	337
2020 06 21 12	0.62	5.95	8.27	322	0.04	86	0.47	9.2	334	0.22	6.95	311
2020 06 21 13	0.71	6.15	12.11	324	0.06	85	0.6	5.95	317	0.36	12.2	342
2020 06 21 14	0.81	6.43	12.11	327	0.07	86	0.81	7.15	326	0.06	2.78	80
2020 06 21 15	0.91	6.93	12.11	329	0.05	91	0.9	7.58	328	0.06	2.54	82
2020 06 21 16	0.97	7.46	12.11	329	0.0	180	0.97	7.86	329	0.05	2.63	81
2020 06 21 17	1.0	7.75	12.11	330	0.0	180	1.0	8.0	329	0.05	2.68	80
2020 06 21 18	1.02	7.84	12.11	329	0.0	180	1.02	8.02	329	0.06	2.18	80
2020 06 21 19	1.04	7.69	12.11	329	0.0	180	0.96	7.47	324	0.38	12.69	357
2020 06 21 20	1.06	7.32	11.01	328	0.0	180	0.99	7.08	323	0.37	12.81	357
2020 06 21 21	1.07	7.03	11.01	327	0.0	180	1.07	7.1	327	0.05	2.39	78
2020 06 21 22	1.06	6.97	11.01	328	0.0	180	0.98	7.78	333	0.39	4.77	298
2020 06 21 23	1.06	7.15	11.01	330	0.0	180	0.91	6.39	322	0.55	13.74	350
2020 06 22 00	1.09	7.54	13.32	333	0.0	180	0.59	13.36	344	0.34	15.28	6
2020 06 22 01	1.14	8.03	13.32	336	0.0	180	0.69	13.3	342	0.4	15.22	6
2020 06 22 02	1.17	8.48	13.32	338	0.0	180	1.09	8.1	333	0.44	15.21	6
2020 06 22 03	1.2	8.85	13.32	339	0.0	180	1.2	8.91	339	0.03	2.18	77
2020 06 22 04	1.21	9.15	13.32	339	0.0	180	1.21	9.2	339	0.02	2.85	78
2020 06 22 05	1.23	9.37	13.32	340	0.0	180	1.23	9.46	340	0.02	2.88	78
2020 06 22 06	1.24	9.4	13.32	340	0.0	180	1.24	9.7	340	0.04	1.47	82
2020 06 22 07	1.25	8.28	13.32	340	0.08	82	1.25	9.9	340	0.1	1.73	39
2020 06 22 08	1.28	7.39	13.32	342	0.14	80	1.25	10.11	340	0.22	2.41	37
2020 06 22 09	1.3	6.49	13.32	344	0.27	76	1.25	10.17	340	0.24	2.68	33
2020 06 22 10	1.35	5.61	13.32	348	0.44	75	1.24	10.37	340	0.25	2.9	29
2020 06 22 11	1.4	5.18	12.11	354	0.56	75	1.23	10.38	340	0.32	3.21	32
2020 06 22 12	1.46	4.97	12.11	0	0.72	73	1.22	10.37	340	0.17	4.76	34
2020 06 22 13	1.53	4.78	12.11	9	0.89	75	1.21	10.36	340	0.24	4.41	27
2020 06 22 14	1.62	4.73	12.11	19	1.04	77	1.2	10.35	340	0.2	5.32	36
2020 06 22 15	1.7	4.74	12.11	28	1.17	78	1.18	10.35	340	0.18	5.82	36
2020 06 22 16	1.77	4.78	12.11	35	1.28	79	1.16	10.35	340	0.23	5.93	36
2020 06 22 17	1.81	4.87	12.11	39	1.32	80	1.13	10.35	340	0.29	6.5	48
2020 06 22 18	1.81	4.98	12.11	40	1.21	82	1.11	10.34	340	0.46	6.45	56
2020 06 22 19	1.79	5.01	12.11	40	1.19	82	1.09	10.3	340	0.51	6.47	56
2020 06 22 20	1.8	5.01	12.11	43	1.22	82	1.06	10.24	340	0.51	6.54	52
2020 06 22 21	1.81	5.07	12.11	44	1.07	84	1.04	10.17	339	0.86	5.14	47
2020 06 22 22	1.75	5.14	12.11	43	0.64	90	1.28	5.27	66	1.28	12.75	339
2020 06 22 23	1.65	5.18	12.11	39	0.49	93	1.23	5.11	66	1.23	12.43	339
2020 06 23 00	1.55	5.24	12.11	34	0.28	99	1.18	4.78	66	1.18	12.05	338
2020 06 23 01	1.46	5.34	12.11	29	0.13	101	0.71	11.57	350	0.62	8.39	323
2020 06 23 02	1.39	5.38	11.01	25	0.12	102	1.02	4.5	64	1.02	10.62	338
2020 06 23 03	1.34	5.39	11.01	23	0.1	100	0.98	4.44	63	0.98	10.29	338
2020 06 23 04	1.32	5.37	11.01	23	0.08	104	0.96	4.4	63	0.96	10.22	337
2020 06 23 05	1.32	5.28	11.01	24	0.14	98	0.96	4.47	62	0.96	10.32	337
2020 06 23 06	1.33	5.2	11.01	26	0.17	94	0.98	4.52	62	0.98	10.61	337
2020 06 23 07	1.33	5.17	11.01	28	0.15	95	1.0	4.49	62	1.0	10.97	337
2020 06 23 08	1.34	4.97	11.01	30	0.39	84	0.96	4.84	60	0.96	10.65	337
2020 06 23 09	1.37	4.71	11.01	34	0.76	76	0.83	9.41	337	0.77	5.07	54
2020 06 23 10	1.38	4.56	11.01	37	0.86	79	0.82	9.41	337	0.51	6.0	53
2020 06 23 11	1.4	4.52	11.01	41	0.91	79	0.81	9.42	337	0.49	6.0	53
2020 06 23 12	1.39	4.55	11.01	41	0.84	78	0.8	9.42	336	0.63	5.94	67
2020 06 23 13	1.33	4.61	11.01	38	0.55	80	0.91	4.93	64	0.91	10.78	336
2020 06 23 14	1.29	4.57	11.01	35	0.6	79	0.82	4.92	62	0.82	9.8	336
2020 06 23 15	1.26	4.52	11.01	33	0.58	80	0.79	4.82	60	0.79	9.53	336
2020 06 23 16	1.22	4.58	11.01	30	0.44	81	0.84	4.67	61	0.84	10.11	336
2020 06 23 17	1.2	4.64	11.01	28	0.39	83	0.83	4.61	60	0.83	10.14	336
2020 06 23 18	1.19	4.7	10.01	27	0.35	83	0.83	4.58	60	0.83	10.18	336
2020 06 23 19	1.17	4.75	10.01	25	0.31	84	0.82	4.51	58	0.82	10.07	336
2020 06 23 20	1.14	4.79	10.01	22	0.28	83	0.8	4.45	57	0.8	9.91	336
2020 06 23 21	1.11	4.88	10.01	18	0.2	85	0.76	9.44	336	0.58	4.13	37
2020 06 23 22	1.07	5.08	10.01	14	0.0	180	0.75	9.46	336	0.7	4.11	49
2020 06 23 23	1.04	5.19	10.01	11	0.0	180	0.75	9.46	336	0.72	3.9	53
2020 06 24 00	1.02	5.25	10.01	9	0.0	180	0.75	9.47	336	0.61	4.08	45
2020 06 24 01	1.0	5.3	10.01	6	0.0	180	0.75	9.47	336	0.51	3.91	35
2020 06 24 02	0.98	5.36	10.01	4	0.01	270	0.75	9.47	336	0.5	3.94	35
2020 06 24 03	0.96	5.44	10.01	2	0.01	275	0.75	9.46	336	0.55	3.67	52
2020 06 24 04	0.95	5.52	10.01	0	0.01	277	0.75	9.47	336	0.57	3.83	47
2020 06 24 05	0.94	5.54	10.01	359	0.02	282	0.66	8.94	332	0.35	12.61	351
2020 06 24 06	0.94	5.01	10.01	356	0.14	302	0.64	8.8	329	0.41	12.3	353
2020 06 24 07	0.96	4.71	10.01	352	0.26	307	0.63	8.77	329	0.42	12.38	353
2020 06 24 08	0.99	4.43	10.01	347	0.37	307	0.61	8.69	328	0.46	12.31	352
2020 06 24 09	1.02	4.25	10.01	343	0.47	309	0.61	8.74	329	0.49	12.41	352
2020 06 24 10	1.07	4.1	12.11	339	0.57	310	0.6	8.81	329	0.6	14.53	351
2020 06 24 11	1.09	4.19	12.11	337	0.57	308	0.6	12.37	348	0.44	9.41	339
2020 06 24 12	1.1	4.47	12.11	337	0.43	302	0.64	12.46	348	0.43	9.39	339
