Valor nulo: -9999.9												
Fecha (GMT)	Altura Signif. del Oleaje(m)	Periodo Medio(s)	Periodo de Pico(s)	Direcc. Media de Proced.(0=N,90=E)	Mar de viento:  Altura signif. Espectral(m)	Mar de viento: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 1:  Altura signif. Espectral(m)	Mar de fondo 1:  Periodo Medio Espectral(s)	Mar de fondo 1: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 2:  Altura signif. Espectral(m)	Mar de fondo 2:  Periodo Medio Espectral(s)	Mar de fondo 2: Direcc. Media de Proced.(0=N,90=E)
2020 08 27 15	0.93	4.61	8.27	328	0.0	180	0.7	3.79	325	0.7	9.4	333
2020 08 27 16	0.93	4.85	7.52	327	0.0	180	0.71	4.03	323	0.71	9.28	332
2020 08 27 17	0.93	4.98	7.52	326	0.0	180	0.92	4.98	326	0.02	3.09	82
2020 08 27 18	0.91	5.07	7.52	325	0.0	180	0.77	5.55	333	0.48	4.25	304
2020 08 27 19	0.94	5.24	7.52	324	0.0	180	0.57	7.92	333	0.55	4.63	331
2020 08 27 20	0.98	5.38	6.83	324	0.0	180	0.73	5.42	327	0.52	4.64	305
2020 08 27 21	1.0	5.41	6.83	323	0.0	180	1.0	5.42	323	0.02	3.24	83
2020 08 27 22	1.02	5.18	7.52	322	0.21	293	0.81	5.81	332	0.58	5.53	306
2020 08 27 23	1.08	4.8	7.52	321	0.21	288	0.84	5.71	331	0.64	5.12	305
2020 08 28 00	1.07	4.68	7.52	320	0.22	294	0.82	5.56	331	0.64	5.07	305
2020 08 28 01	1.02	4.67	7.52	320	0.11	279	0.91	4.63	316	0.45	8.17	337
2020 08 28 02	1.02	4.32	7.52	319	0.37	299	0.85	5.01	318	0.42	8.19	337
2020 08 28 03	1.13	4.03	7.52	317	0.69	303	0.7	4.85	324	0.7	9.92	329
2020 08 28 04	1.21	4.24	6.21	318	0.36	286	1.08	4.67	318	0.42	8.13	337
2020 08 28 05	1.24	4.5	6.21	319	0.28	282	1.2	4.98	320	0.01	14.36	78
2020 08 28 06	1.24	4.78	6.21	320	0.11	270	1.09	4.61	315	0.57	7.59	336
2020 08 28 07	1.19	4.87	6.83	321	0.1	268	0.98	4.49	316	0.66	7.67	330
2020 08 28 08	1.15	4.69	7.52	320	0.22	283	1.13	5.2	322	0.01	14.36	78
2020 08 28 09	1.14	4.42	7.52	320	0.47	296	1.04	5.75	325	0.01	14.42	79
2020 08 28 10	1.21	4.29	7.52	320	0.72	303	0.87	6.09	324	0.41	8.97	346
2020 08 28 11	1.34	4.37	7.52	319	0.77	299	0.97	5.79	324	0.49	9.2	347
2020 08 28 12	1.47	4.44	7.52	320	1.2	310	0.57	7.48	332	0.35	8.46	341
2020 08 28 13	1.58	4.63	10.01	322	1.08	304	0.87	6.29	329	0.87	13.07	347
2020 08 28 14	1.62	4.84	11.01	325	0.98	303	0.84	10.24	345	0.61	7.74	337
2020 08 28 15	1.77	4.89	11.01	325	1.28	309	1.22	8.19	343	0.01	8.72	266
2020 08 28 16	1.87	4.97	11.01	325	1.33	308	1.31	8.11	342	0.01	8.59	267
2020 08 28 17	1.93	5.07	11.01	326	1.3	307	1.34	7.98	343	0.43	7.24	322
2020 08 28 18	1.95	5.18	10.01	326	1.3	308	1.37	8.08	342	0.44	7.24	322
2020 08 28 19	1.93	5.21	10.01	327	1.23	306	1.48	7.68	340	0.0	8.89	243
2020 08 28 20	1.85	5.54	10.01	329	0.41	282	1.8	6.29	331	0.01	19.71	80
2020 08 28 21	1.85	5.6	10.01	330	1.19	317	1.4	8.8	339	0.13	6.83	292
2020 08 28 22	1.74	6.03	10.01	332	0.03	236	1.74	6.06	332	0.01	19.65	79
2020 08 28 23	1.63	6.45	10.01	334	0.03	241	1.63	6.5	334	0.01	15.87	81
2020 08 29 00	1.56	6.55	10.01	334	0.03	248	1.56	6.61	334	0.01	15.87	81
2020 08 29 01	1.53	6.29	10.01	333	0.11	277	1.53	6.53	333	0.01	15.87	81
2020 08 29 02	1.52	5.98	10.01	332	0.17	280	1.51	6.37	333	0.01	15.85	81
2020 08 29 03	1.5	5.93	10.01	332	0.13	270	1.49	6.22	332	0.01	15.85	81
2020 08 29 04	1.52	5.57	10.01	331	0.34	289	1.48	6.41	332	0.01	15.85	81
2020 08 29 05	1.54	5.54	9.1	330	0.23	279	1.52	6.04	331	0.01	15.85	81
2020 08 29 06	1.53	5.69	9.1	330	0.14	273	1.52	5.97	330	0.01	15.85	81
2020 08 29 07	1.62	5.68	9.1	330	0.1	267	1.62	5.82	330	0.01	15.85	80
2020 08 29 08	1.75	5.38	8.27	329	0.21	282	1.73	5.65	330	0.01	15.85	80
2020 08 29 09	1.69	5.16	8.27	329	0.59	298	1.58	6.15	333	0.01	5.13	260
2020 08 29 10	1.61	5.11	8.27	330	0.69	303	1.46	6.59	336	0.01	5.83	268
2020 08 29 11	1.59	5.11	8.27	331	0.64	304	1.46	6.62	336	0.02	5.27	269
2020 08 29 12	1.61	5.33	8.27	334	0.39	292	1.57	6.09	336	0.01	15.85	80
2020 08 29 13	1.81	5.32	8.27	335	1.31	328	1.25	7.98	343	0.02	7.52	284
2020 08 29 14	2.03	5.31	8.27	340	1.51	343	1.22	8.82	333	0.52	8.22	354
2020 08 29 15	1.99	5.48	9.1	341	0.84	335	1.8	7.01	343	0.04	3.32	273
2020 08 29 16	1.99	5.62	9.1	342	0.97	340	1.73	7.63	343	0.04	3.0	271
2020 08 29 17	2.0	5.69	9.1	344	0.77	339	1.84	7.22	345	0.06	2.21	225
2020 08 29 18	1.99	5.95	9.1	346	0.39	330	1.95	6.61	346	0.01	19.71	80
2020 08 29 19	1.96	6.17	9.1	347	0.3	322	1.94	6.7	348	0.01	20.48	79
2020 08 29 20	1.93	6.26	9.1	349	0.3	329	1.91	6.8	349	0.01	20.48	79
2020 08 29 21	1.9	6.28	9.1	350	0.31	330	1.88	6.88	350	0.01	20.48	79
2020 08 29 22	1.87	6.46	9.1	351	0.04	287	1.87	6.53	351	0.01	20.48	79
2020 08 29 23	1.87	6.24	9.1	352	0.01	269	1.78	6.55	348	0.55	4.53	34
2020 08 30 00	1.84	6.11	9.1	352	0.14	309	1.74	6.74	348	0.56	4.47	35
2020 08 30 01	1.78	6.3	9.1	353	0.02	251	1.69	6.66	348	0.55	4.56	35
2020 08 30 02	1.73	6.42	9.1	353	0.04	279	1.64	6.85	349	0.54	4.62	35
2020 08 30 03	1.68	6.46	9.1	353	0.04	276	1.6	6.88	349	0.53	4.66	35
2020 08 30 04	1.64	6.44	9.1	353	0.02	235	1.63	6.47	353	0.01	19.36	79
2020 08 30 05	1.59	6.39	9.1	353	0.02	245	1.59	6.42	353	0.01	19.36	79
2020 08 30 06	1.54	6.37	9.1	353	0.0	180	1.54	6.37	353	0.01	18.6	79
2020 08 30 07	1.49	6.33	9.1	353	0.02	231	1.49	6.37	353	0.01	18.54	79
2020 08 30 08	1.44	6.27	9.1	353	0.01	245	1.44	6.3	353	0.01	17.63	79
2020 08 30 09	1.4	6.22	9.1	353	0.0	180	1.4	6.22	353	0.01	17.5	79
2020 08 30 10	1.36	6.19	8.27	353	0.01	225	1.36	6.22	353	0.01	17.5	79
2020 08 30 11	1.32	6.15	8.27	353	0.0	180	1.32	6.15	353	0.01	16.91	80
2020 08 30 12	1.29	6.11	8.27	354	0.0	180	1.29	6.11	354	0.01	16.91	80
2020 08 30 13	1.26	6.08	8.27	354	0.0	180	1.18	6.42	348	0.45	4.64	38
2020 08 30 14	1.25	6.07	8.27	355	0.0	180	1.16	6.43	348	0.46	4.71	38
2020 08 30 15	1.23	6.07	8.27	355	0.0	180	1.13	6.43	348	0.47	4.74	39
2020 08 30 16	1.21	6.05	8.27	355	0.0	180	1.11	6.42	348	0.47	4.75	39
2020 08 30 17	1.18	6.02	8.27	356	0.0	180	1.08	6.4	348	0.38	5.15	34
2020 08 30 18	1.15	5.97	8.27	356	0.0	180	1.03	6.46	346	0.43	5.09	29
2020 08 30 19	1.12	5.92	7.52	356	0.0	180	1.0	6.41	346	0.42	5.04	29
2020 08 30 20	1.08	5.87	7.52	356	0.0	180	0.98	6.26	347	0.37	4.49	47
2020 08 30 21	1.05	5.81	7.52	356	0.0	180	0.95	6.2	347	0.37	4.46	47
2020 08 30 22	1.02	5.76	7.52	356	0.02	208	0.92	6.23	347	0.41	4.48	43
2020 08 30 23	0.99	5.71	7.52	356	0.03	199	0.9	6.19	347	0.39	4.44	43
2020 08 31 00	0.96	5.66	7.52	355	0.04	206	0.88	6.16	347	0.38	4.4	44
2020 08 31 01	0.94	5.61	7.52	355	0.04	199	0.86	6.13	346	0.35	4.23	46
2020 08 31 02	0.92	5.6	7.52	354	0.03	198	0.84	6.1	346	0.36	4.34	44
2020 08 31 03	0.9	5.61	7.52	354	0.02	198	0.83	6.08	346	0.34	4.23	45
2020 08 31 04	0.88	5.6	7.52	353	0.01	195	0.67	6.68	352	0.46	5.17	332
2020 08 31 05	0.87	5.57	7.52	353	0.01	197	0.66	6.63	352	0.46	5.17	332
2020 08 31 06	0.85	5.54	7.52	352	0.01	205	0.79	5.99	345	0.3	4.09	44
2020 08 31 07	0.83	5.46	7.52	352	0.01	200	0.77	5.97	345	0.29	3.87	45
2020 08 31 08	0.82	5.35	7.52	351	0.0	180	0.76	5.9	344	0.28	3.56	47
2020 08 31 09	0.8	5.29	7.52	351	0.0	180	0.69	5.68	347	0.27	7.91	329
2020 08 31 10	0.79	5.2	7.52	351	0.0	180	0.58	6.07	354	0.44	5.55	325
2020 08 31 11	0.78	5.07	7.52	352	0.0	180	0.56	6.05	354	0.44	5.55	325
2020 08 31 12	0.77	4.95	7.52	353	0.0	180	0.5	5.8	356	0.5	6.06	329
2020 08 31 13	0.75	4.86	7.52	354	0.0	180	0.49	5.79	356	0.49	5.97	329
2020 08 31 14	0.74	4.81	6.83	353	0.0	180	0.47	5.78	356	0.47	5.87	329
2020 08 31 15	0.71	4.8	6.83	352	0.0	180	0.52	5.76	332	0.39	5.8	0
2020 08 31 16	0.69	4.71	6.83	351	0.05	88	0.51	5.72	332	0.38	5.73	0
2020 08 31 17	0.68	4.4	6.83	351	0.12	80	0.5	5.71	332	0.37	5.69	0
2020 08 31 18	0.68	4.33	6.83	354	0.0	180	0.49	5.93	332	0.35	5.65	0
2020 08 31 19	0.67	4.39	6.83	356	0.0	180	0.47	5.91	332	0.34	5.62	359
2020 08 31 20	0.67	4.43	6.83	358	0.0	180	0.46	5.89	332	0.33	5.58	359
2020 08 31 21	0.66	4.46	6.83	1	0.0	180	0.45	5.86	331	0.33	5.5	0
2020 08 31 22	0.65	4.45	6.83	2	0.0	180	0.45	5.83	331	0.32	5.43	0
2020 08 31 23	0.64	4.43	6.83	2	0.0	180	0.44	5.8	331	0.31	5.25	0
2020 09 01 00	0.62	4.4	6.83	0	0.0	180	0.46	5.92	335	0.25	4.55	3
2020 09 01 01	0.59	4.39	6.83	358	0.0	180	0.42	5.71	331	0.3	4.58	2
2020 09 01 02	0.57	4.37	6.83	356	0.0	180	0.41	5.67	331	0.3	4.54	2
2020 09 01 03	0.55	4.35	6.83	354	0.0	180	0.4	5.62	331	0.29	4.5	2
2020 09 01 04	0.53	4.32	6.83	353	0.0	180	0.4	5.64	332	0.26	4.3	2
2020 09 01 05	0.52	4.3	6.21	352	0.0	180	0.39	5.59	331	0.25	4.26	2
2020 09 01 06	0.5	4.28	6.21	351	0.0	180	0.36	5.68	329	0.27	4.48	356
2020 09 01 07	0.49	4.24	6.21	350	0.0	180	0.35	5.63	329	0.27	4.43	356
2020 09 01 08	0.47	4.18	6.21	350	0.0	180	0.34	5.59	329	0.26	4.31	356
2020 09 01 09	0.46	4.09	6.21	350	0.0	180	0.33	5.58	329	0.25	4.09	356
2020 09 01 10	0.45	3.89	6.21	349	0.05	294	0.32	5.57	329	0.24	4.16	356
2020 09 01 11	0.46	3.24	6.21	347	0.14	306	0.3	5.51	329	0.23	4.11	355
2020 09 01 12	0.47	3.17	6.21	345	0.18	319	0.3	5.51	329	0.21	4.33	356
2020 09 01 13	0.46	3.22	6.21	346	0.12	332	0.28	5.58	329	0.2	4.48	353
2020 09 01 14	0.47	3.1	6.21	348	0.18	349	0.28	5.47	329	0.19	4.46	354
2020 09 01 15	0.49	3.03	6.21	350	0.19	2	0.27	5.48	329	0.18	4.57	354
2020 09 01 16	0.49	3.04	6.21	353	0.14	11	0.25	5.41	328	0.17	4.5	353
2020 09 01 17	0.49	3.1	9.1	353	0.08	16	0.23	5.52	329	0.17	8.75	324
2020 09 01 18	0.48	3.19	9.1	351	0.0	180	0.23	5.31	328	0.15	8.17	315
2020 09 01 19	0.46	3.3	8.27	348	0.0	180	0.22	5.26	328	0.2	8.38	322
2020 09 01 20	0.45	3.39	8.27	346	0.0	180	0.22	8.06	321	0.21	5.04	328
2020 09 01 21	0.43	3.47	8.27	344	0.0	180	0.24	7.6	318	0.19	4.97	330
2020 09 01 22	0.42	3.54	7.52	342	0.0	180	0.25	7.46	317	0.19	4.77	330
2020 09 01 23	0.41	3.6	7.52	341	0.0	180	0.25	7.25	316	0.19	3.51	326
2020 09 02 00	0.4	3.66	7.52	341	0.0	180	0.26	7.15	316	0.18	3.37	325
2020 09 02 01	0.4	3.72	7.52	343	0.0	180	0.21	7.94	323	0.14	5.86	300
2020 09 02 02	0.4	3.79	6.83	347	0.0	180	0.18	6.32	303	0.17	8.39	331
2020 09 02 03	0.41	3.89	6.83	353	0.0	180	0.18	6.11	303	0.18	5.02	46
2020 09 02 04	0.42	3.99	5.13	0	0.0	180	0.24	4.77	42	0.23	6.51	311
2020 09 02 05	0.45	4.07	5.13	5	0.0	180	0.22	3.32	53	0.22	5.12	34
2020 09 02 06	0.46	4.12	4.67	8	0.0	180	0.25	4.52	32	0.23	3.45	53
2020 09 02 07	0.47	4.14	4.67	8	0.0	180	0.26	4.35	32	0.23	3.52	54
2020 09 02 08	0.48	4.15	4.67	6	0.0	180	0.34	3.87	42	0.19	5.99	307
2020 09 02 09	0.49	4.18	4.67	2	0.0	180	0.33	3.77	42	0.2	5.97	307
2020 09 02 10	0.5	4.24	4.67	0	0.0	180	0.32	3.69	43	0.2	6.04	307
2020 09 02 11	0.52	4.33	4.67	0	0.0	180	0.27	3.41	47	0.27	7.55	308
2020 09 02 12	0.54	4.44	4.67	2	0.0	180	0.23	6.15	308	0.23	6.28	66
2020 09 02 13	0.57	4.54	5.65	7	0.0	180	0.34	4.19	61	0.24	6.15	309
2020 09 02 14	0.61	4.36	5.65	11	0.09	74	0.38	4.28	59	0.25	6.16	309
2020 09 02 15	0.67	3.67	5.65	18	0.26	68	0.41	4.53	56	0.26	6.17	309
2020 09 02 16	0.72	3.57	5.65	25	0.34	73	0.45	4.32	51	0.27	6.12	309
2020 09 02 17	0.78	3.45	5.13	30	0.44	75	0.41	4.9	51	0.2	13.55	354
2020 09 02 18	0.8	3.52	13.32	31	0.38	86	0.52	3.94	50	0.52	28.41	353
2020 09 02 19	0.81	3.6	13.32	30	0.4	84	0.51	3.97	48	0.51	24.74	352
2020 09 02 20	0.83	3.65	13.32	29	0.38	89	0.42	4.47	58	0.42	18.15	351
2020 09 02 21	0.83	3.82	13.32	27	0.22	101	0.61	3.61	58	0.61	24.23	351
2020 09 02 22	0.88	3.86	13.32	31	0.3	97	0.5	3.78	43	0.5	18.1	350
2020 09 02 23	0.92	3.95	13.32	34	0.28	99	0.3	12.65	357	0.23	11.36	335
2020 09 03 00	0.91	4.02	12.11	33	0.26	101	0.5	3.91	45	0.5	15.09	348
2020 09 03 01	0.89	4.18	12.11	28	0.11	114	0.68	3.64	63	0.68	18.48	346
2020 09 03 02	0.89	4.37	12.11	25	0.0	180	0.67	3.53	61	0.67	16.37	345
2020 09 03 03	0.92	4.46	12.11	26	0.0	180	0.7	3.62	60	0.7	10.2	334
2020 09 03 04	0.92	4.54	12.11	24	0.0	180	0.69	3.65	60	0.69	10.03	334
2020 09 03 05	0.9	4.65	12.11	20	0.0	180	0.66	3.64	59	0.66	9.36	335
2020 09 03 06	0.89	4.77	12.11	16	0.0	180	0.45	11.45	350	0.44	7.44	319
2020 09 03 07	0.9	4.84	11.01	14	0.0	180	0.65	8.89	335	0.62	3.64	58
2020 09 03 08	0.91	4.9	11.01	12	0.0	180	0.66	8.92	335	0.62	3.65	58
2020 09 03 09	0.92	4.96	11.01	11	0.0	180	0.67	8.94	334	0.62	3.67	58
2020 09 03 10	0.93	5.02	11.01	11	0.0	180	0.69	8.95	334	0.62	3.7	58
2020 09 03 11	0.93	5.01	11.01	10	0.05	82	0.7	8.95	334	0.62	3.77	59
2020 09 03 12	0.95	4.97	11.01	11	0.0	180	0.7	8.95	334	0.64	3.67	59
2020 09 03 13	0.98	5.01	11.01	14	0.0	180	0.71	8.95	334	0.68	3.79	59
2020 09 03 14	1.01	4.99	11.01	17	0.0	180	0.71	8.94	333	0.71	3.84	61
2020 09 03 15	1.02	4.87	11.01	18	0.13	75	0.72	8.93	333	0.71	4.09	63
2020 09 03 16	1.02	4.73	10.01	19	0.21	82	0.72	8.91	333	0.69	4.17	64
2020 09 03 17	1.02	4.61	10.01	19	0.26	82	0.72	8.89	333	0.67	4.21	65
2020 09 03 18	1.01	4.72	10.01	17	0.14	66	0.72	8.87	333	0.68	3.91	68
2020 09 03 19	0.99	4.92	10.01	14	0.0	180	0.73	8.86	333	0.66	3.63	68
2020 09 03 20	0.97	5.08	10.01	10	0.0	180	0.73	8.85	333	0.63	3.67	67
2020 09 03 21	0.95	5.2	10.01	6	0.0	180	0.74	8.85	333	0.59	3.66	67
2020 09 03 22	0.94	5.31	10.01	2	0.0	180	0.75	8.85	333	0.56	3.63	66
2020 09 03 23	0.93	5.43	10.01	359	0.0	180	0.76	8.88	333	0.52	3.57	66
2020 09 04 00	0.92	5.55	10.01	355	0.0	180	0.77	8.91	334	0.49	3.5	65
2020 09 04 01	0.92	5.68	11.01	352	0.0	180	0.79	8.96	334	0.46	3.42	64
2020 09 04 02	0.92	5.81	11.01	350	0.0	180	0.81	9.01	335	0.43	3.34	63
2020 09 04 03	0.93	5.93	11.01	348	0.0	180	0.83	9.08	335	0.41	3.25	62
2020 09 04 04	0.94	6.06	11.01	346	0.0	180	0.85	9.16	335	0.39	3.17	61
2020 09 04 05	0.96	6.23	11.01	345	0.0	180	0.88	9.25	336	0.37	3.1	60
2020 09 04 06	0.98	6.4	12.11	345	0.0	180	0.67	11.49	350	0.61	7.86	321
2020 09 04 07	1.0	6.58	12.11	344	0.0	180	0.94	9.42	337	0.35	3.03	58
2020 09 04 08	1.02	6.72	12.11	344	0.0	180	0.96	9.46	337	0.34	3.03	57
2020 09 04 09	1.03	6.84	12.11	344	0.0	180	0.98	9.48	338	0.33	3.05	57
2020 09 04 10	1.04	6.93	12.11	344	0.0	180	0.99	9.48	338	0.33	3.09	57
2020 09 04 11	1.05	6.98	12.11	344	0.0	180	0.99	9.46	337	0.32	3.07	56
2020 09 04 12	1.05	6.99	12.11	344	0.0	180	0.74	11.42	349	0.65	7.92	322
2020 09 04 13	1.05	6.99	12.11	344	0.0	180	0.88	8.86	332	0.45	12.67	358
2020 09 04 14	1.05	6.95	11.01	345	0.0	180	0.98	9.34	337	0.37	3.46	61
2020 09 04 15	1.05	6.88	11.01	345	0.0	180	0.98	9.3	337	0.38	3.47	60
2020 09 04 16	1.05	6.83	11.01	345	0.0	180	0.97	9.27	337	0.38	3.46	59
2020 09 04 17	1.04	6.75	11.01	345	0.0	180	0.97	9.25	336	0.39	3.42	56
2020 09 04 18	1.04	6.68	11.01	344	0.01	289	0.97	9.22	337	0.38	3.42	53
2020 09 04 19	1.04	6.61	11.01	344	0.0	180	0.96	9.21	337	0.38	3.3	50
2020 09 04 20	1.04	6.46	11.01	344	0.0	180	0.96	9.17	337	0.39	3.19	45
2020 09 04 21	1.04	6.3	11.01	344	0.0	180	0.96	9.19	337	0.34	3.62	52
2020 09 04 22	1.05	6.19	11.01	344	0.0	180	0.96	9.17	337	0.35	3.48	46
2020 09 04 23	1.06	6.14	11.01	344	0.0	180	0.97	9.19	337	0.43	3.14	28
2020 09 05 00	1.07	6.03	11.01	345	0.06	315	0.97	9.21	338	0.33	3.67	46
2020 09 05 01	1.09	5.73	11.01	345	0.13	319	0.97	8.48	337	0.19	14.89	13
2020 09 05 02	1.11	5.53	11.01	345	0.14	326	0.98	8.11	337	0.21	14.84	13
2020 09 05 03	1.13	5.38	11.01	346	0.21	338	0.94	8.03	335	0.36	14.33	4
2020 09 05 04	1.15	5.5	11.01	347	0.0	180	0.93	6.6	334	0.33	13.86	358
2020 09 05 05	1.17	5.54	11.01	348	0.0	180	0.82	9.01	333	0.46	13.22	356
2020 09 05 06	1.19	5.59	11.01	348	0.0	180	0.8	9.21	333	0.51	13.45	359
2020 09 05 07	1.21	5.69	11.01	349	0.0	180	0.79	9.26	334	0.79	20.52	359
2020 09 05 08	1.23	5.69	11.01	350	0.0	180	0.76	9.54	335	0.76	20.07	359
2020 09 05 09	1.24	5.54	11.01	351	0.11	21	0.75	9.51	335	0.75	20.35	359
2020 09 05 10	1.25	5.51	11.01	352	0.0	180	0.75	9.47	335	0.75	20.84	359
2020 09 05 11	1.25	5.57	11.01	352	0.0	180	0.73	9.71	336	0.73	20.88	359
2020 09 05 12	1.26	5.63	11.01	352	0.08	9	0.69	10.05	338	0.44	13.08	359
2020 09 05 13	1.29	5.38	11.01	352	0.23	14	0.74	10.2	341	0.34	13.54	357
2020 09 05 14	1.32	5.12	11.01	353	0.34	23	0.82	4.82	12	0.82	10.85	343
2020 09 05 15	1.33	5.1	11.01	354	0.28	34	0.89	4.7	10	0.89	11.8	343
2020 09 05 16	1.34	4.99	11.01	355	0.38	39	0.84	5.32	11	0.84	11.27	343
2020 09 05 17	1.36	4.84	11.01	357	0.47	45	0.66	11.02	350	0.41	9.23	325
2020 09 05 18	1.38	4.82	11.01	359	0.47	45	0.65	10.97	350	0.41	9.24	325
2020 09 05 19	1.39	4.74	11.01	1	0.61	42	0.65	10.94	350	0.4	9.25	325
2020 09 05 20	1.43	4.55	11.01	4	0.83	38	0.64	10.91	350	0.4	9.27	325
2020 09 05 21	1.47	4.47	11.01	7	0.91	39	0.65	10.85	350	0.4	9.28	325
2020 09 05 22	1.48	4.47	10.01	9	0.9	44	0.65	10.84	350	0.4	9.29	325
2020 09 05 23	1.47	4.53	10.01	10	0.81	49	0.78	5.08	355	0.78	10.53	343
2020 09 06 00	1.45	4.59	10.01	10	0.75	49	0.77	10.32	343	0.59	5.57	31
2020 09 06 01	1.43	4.63	10.01	10	0.66	50	0.78	5.3	26	0.78	10.38	343
2020 09 06 02	1.42	4.66	10.01	9	0.62	49	0.8	5.24	28	0.8	10.6	343
2020 09 06 03	1.4	4.73	10.01	8	0.47	55	1.01	4.87	18	1.01	13.3	344
2020 09 06 04	1.36	4.82	10.01	6	0.38	56	0.99	4.7	19	0.99	13.03	344
2020 09 06 05	1.33	4.88	10.01	5	0.35	58	0.88	4.69	27	0.88	10.72	343
2020 09 06 06	1.31	4.9	10.01	4	0.34	62	0.84	4.65	26	0.84	10.22	343
2020 09 06 07	1.28	4.95	10.01	2	0.3	63	0.84	10.08	344	0.63	4.56	9
2020 09 06 08	1.26	5.0	10.01	1	0.29	61	0.85	10.09	344	0.57	4.45	47
2020 09 06 09	1.24	5.03	10.01	359	0.28	61	0.86	10.1	344	0.59	4.45	41
2020 09 06 10	1.22	5.17	11.01	358	0.18	71	0.87	10.09	344	0.48	4.84	333
2020 09 06 11	1.2	5.38	11.01	356	0.09	66	0.88	10.08	345	0.49	4.89	334
2020 09 06 12	1.18	5.53	11.01	354	0.1	52	0.89	10.06	345	0.58	4.71	343
2020 09 06 13	1.18	5.62	11.01	353	0.09	46	0.89	10.06	345	0.59	4.74	344
2020 09 06 14	1.17	5.65	11.01	352	0.1	41	1.05	7.26	344	0.3	4.31	11
2020 09 06 15	1.17	5.65	11.01	352	0.11	46	1.04	7.23	343	0.34	4.52	14
2020 09 06 16	1.16	5.66	11.01	351	0.1	47	1.04	7.2	343	0.35	4.5	14
2020 09 06 17	1.15	5.68	10.01	351	0.09	48	1.04	7.16	343	0.49	3.88	28
2020 09 06 18	1.15	5.48	10.01	351	0.23	22	1.03	7.42	343	0.46	4.28	28
2020 09 06 19	1.16	5.39	10.01	351	0.15	20	1.03	7.09	343	0.51	3.95	26
2020 09 06 20	1.17	5.43	10.01	352	0.0	180	1.0	7.06	342	0.46	4.19	9
2020 09 06 21	1.17	5.46	10.01	352	0.0	180	1.0	6.98	342	0.47	4.31	9
2020 09 06 22	1.17	5.17	10.01	353	0.24	45	0.99	6.95	342	0.45	4.53	6
2020 09 06 23	1.2	4.75	10.01	356	0.4	48	0.98	6.96	342	0.38	4.53	2
2020 09 07 00	1.22	4.62	10.01	358	0.45	40	0.96	7.16	342	0.37	4.82	2
2020 09 07 01	1.21	4.63	10.01	359	0.43	41	0.99	6.75	343	0.53	4.67	29
2020 09 07 02	1.2	4.62	10.01	359	0.38	45	0.98	6.65	343	0.57	4.51	32
2020 09 07 03	1.19	4.63	10.01	0	0.37	53	0.97	6.57	343	0.42	4.41	17
2020 09 07 04	1.17	4.59	10.01	0	0.38	61	0.95	6.58	342	0.43	4.43	43
2020 09 07 05	1.15	4.62	10.01	0	0.34	67	0.94	6.68	342	0.48	4.16	41
2020 09 07 06	1.11	4.8	10.01	358	0.19	48	0.95	6.59	343	0.54	3.7	46
2020 09 07 07	1.08	5.01	10.01	355	0.13	52	0.93	6.75	342	0.52	3.64	42
2020 09 07 08	1.06	5.2	10.01	354	0.0	180	0.93	6.77	342	0.5	3.35	42
2020 09 07 09	1.04	5.34	10.01	353	0.0	180	0.92	6.76	342	0.47	3.42	41
2020 09 07 10	1.03	5.42	10.01	352	0.0	180	0.92	6.75	342	0.38	3.67	29
2020 09 07 11	1.02	5.5	10.01	351	0.0	180	0.93	6.52	342	0.33	3.69	33
2020 09 07 12	1.01	5.47	10.01	350	0.08	60	0.93	6.51	342	0.3	3.64	53
2020 09 07 13	1.01	5.22	10.01	350	0.17	65	0.93	6.33	343	0.26	3.9	52
2020 09 07 14	1.01	4.92	10.01	351	0.22	70	0.94	6.19	344	0.25	3.86	51
2020 09 07 15	1.02	4.55	10.01	354	0.36	65	0.93	6.27	344	0.19	4.27	47
2020 09 07 16	1.07	4.16	10.01	0	0.51	62	0.91	6.35	343	0.16	4.11	29
2020 09 07 17	1.1	3.99	9.1	6	0.6	65	0.86	7.06	341	0.29	3.51	19
2020 09 07 18	1.14	3.9	9.1	11	0.69	65	0.83	7.49	340	0.34	3.78	13
2020 09 07 19	1.18	3.82	9.1	18	0.78	67	0.81	7.59	340	0.35	3.75	13
2020 09 07 20	1.22	3.79	9.1	25	0.84	71	0.79	7.71	340	0.38	3.93	17
2020 09 07 21	1.23	3.83	9.1	29	0.83	77	0.76	7.8	340	0.47	4.05	23
2020 09 07 22	1.19	3.95	9.1	29	0.65	90	0.76	7.7	341	0.64	3.96	40
2020 09 07 23	1.16	3.93	9.1	30	0.71	86	0.74	7.78	340	0.41	3.75	44
2020 09 08 00	1.2	3.78	9.1	37	0.88	78	0.72	7.86	340	0.24	5.23	31
2020 09 08 01	1.28	3.69	4.24	45	1.01	77	0.7	7.94	340	0.34	4.19	24
2020 09 08 02	1.25	3.72	4.24	45	0.96	79	0.69	8.01	340	0.4	4.32	30
2020 09 08 03	1.2	3.7	9.1	43	0.91	79	0.67	8.06	340	0.38	4.33	30
2020 09 08 04	1.19	3.66	9.1	43	0.92	77	0.66	8.1	340	0.34	4.69	28
2020 09 08 05	1.2	3.62	9.1	45	0.95	76	0.65	8.15	340	0.31	4.75	27
