Valor nulo: -9999.9	
Fecha (GMT)	Temperatura del Agua(ºC)
2020 06 28 03	19.865
2020 06 28 04	19.786
2020 06 28 05	19.706
2020 06 28 06	19.632
2020 06 28 07	19.574
2020 06 28 08	19.533
2020 06 28 09	19.554
2020 06 28 10	19.639
2020 06 28 11	19.717
2020 06 28 12	19.87
2020 06 28 13	20.133
2020 06 28 14	20.403
2020 06 28 15	20.65
2020 06 28 16	20.844
2020 06 28 17	20.924
2020 06 28 18	20.706
2020 06 28 19	20.44
2020 06 28 20	20.347
2020 06 28 21	20.289
2020 06 28 22	20.231
2020 06 28 23	20.176
2020 06 29 00	20.118
2020 06 29 01	20.067
2020 06 29 02	20.02
2020 06 29 03	19.972
2020 06 29 04	19.918
2020 06 29 05	19.845
2020 06 29 06	19.763
2020 06 29 07	19.689
2020 06 29 08	19.632
2020 06 29 09	19.596
2020 06 29 10	19.578
2020 06 29 11	19.568
2020 06 29 12	19.59
2020 06 29 13	19.636
2020 06 29 14	19.682
2020 06 29 15	19.766
2020 06 29 16	19.877
2020 06 29 17	19.977
2020 06 29 18	20.026
2020 06 29 19	20.04
2020 06 29 20	20.067
2020 06 29 21	20.042
2020 06 29 22	19.987
2020 06 29 23	19.953
2020 06 30 00	19.905
2020 06 30 01	19.835
2020 06 30 02	19.756
2020 06 30 03	19.671
2020 06 30 04	19.584
2020 06 30 05	19.494
2020 06 30 06	19.401
2020 06 30 07	19.301
2020 06 30 08	19.218
2020 06 30 09	19.251
2020 06 30 10	19.37
2020 06 30 11	19.504
2020 06 30 12	19.685
2020 06 30 13	19.892
2020 06 30 14	20.093
2020 06 30 15	20.285
2020 06 30 16	20.467
2020 06 30 17	20.644
2020 06 30 18	20.746
2020 06 30 19	20.798
2020 06 30 20	20.846
2020 06 30 21	20.792
2020 06 30 22	20.654
2020 06 30 23	20.538
2020 07 01 00	20.434
2020 07 01 01	20.338
2020 07 01 02	20.25
2020 07 01 03	20.166
2020 07 01 04	20.079
2020 07 01 05	20.003
2020 07 01 06	19.954
2020 07 01 07	19.91
2020 07 01 08	19.873
2020 07 01 09	19.877
2020 07 01 10	19.904
2020 07 01 11	19.923
2020 07 01 12	19.959
2020 07 01 13	20.004
2020 07 01 14	20.041
2020 07 01 15	20.063
2020 07 01 16	20.082
2020 07 01 17	20.104
2020 07 01 18	20.104
2020 07 01 19	20.09
2020 07 01 20	20.077
2020 07 01 21	20.046
2020 07 01 22	20.01
2020 07 01 23	19.983
2020 07 02 00	19.495
2020 07 02 01	19.479
2020 07 02 02	19.458
2020 07 02 03	19.434
2020 07 02 04	19.409
2020 07 02 05	19.387
2020 07 02 06	19.363
2020 07 02 07	19.339
2020 07 02 08	19.317
2020 07 02 09	19.303
2020 07 02 10	19.294
2020 07 02 11	19.284
2020 07 02 12	19.287
2020 07 02 13	19.295
2020 07 02 14	19.302
2020 07 02 15	19.316
2020 07 02 16	19.333
2020 07 02 17	19.349
2020 07 02 18	19.351
2020 07 02 19	19.342
2020 07 02 20	19.332
2020 07 02 21	19.306
2020 07 02 22	19.275
2020 07 02 23	19.251
2020 07 03 00	19.212
2020 07 03 01	19.188
2020 07 03 02	19.165
2020 07 03 03	19.146
2020 07 03 04	19.136
2020 07 03 05	19.126
2020 07 03 06	19.107
2020 07 03 07	19.09
2020 07 03 08	19.074
2020 07 03 09	19.095
2020 07 03 10	19.123
2020 07 03 11	19.145
2020 07 03 12	19.209
2020 07 03 13	19.312
2020 07 03 14	19.42
2020 07 03 15	19.552
2020 07 03 16	19.71
2020 07 03 17	19.873
2020 07 03 18	19.97
2020 07 03 19	20.015
2020 07 03 20	20.069
2020 07 03 21	19.999
2020 07 03 22	19.841
2020 07 03 23	19.725
2020 07 04 00	19.626
2020 07 04 01	19.537
2020 07 04 02	19.464
2020 07 04 03	19.401
2020 07 04 04	19.34
2020 07 04 05	19.278
2020 07 04 06	19.212
2020 07 04 07	19.149
2020 07 04 08	19.091
2020 07 04 09	19.102
2020 07 04 10	19.184
2020 07 04 11	19.259
2020 07 04 12	19.412
2020 07 04 13	19.653
2020 07 04 14	19.892
2020 07 04 15	20.148
2020 07 04 16	20.42
2020 07 04 17	20.682
2020 07 04 18	20.851
2020 07 04 19	20.922
2020 07 04 20	20.973
2020 07 04 21	20.886
2020 07 04 22	20.682
2020 07 04 23	20.509
2020 07 05 00	20.356
2020 07 05 01	20.216
2020 07 05 02	20.1
2020 07 05 03	20.001
2020 07 05 04	19.911
2020 07 05 05	19.819
2020 07 05 06	19.735
2020 07 05 07	19.658
2020 07 05 08	19.588
2020 07 05 09	19.618
2020 07 05 10	19.743
2020 07 05 11	19.847
2020 07 05 12	20.007
2020 07 05 13	20.229
2020 07 05 14	20.434
2020 07 05 15	20.645
2020 07 05 16	20.856
2020 07 05 17	21.051
2020 07 05 18	21.136
2020 07 05 19	21.124
2020 07 05 20	21.164
2020 07 05 21	21.158
2020 07 05 22	21.083
2020 07 05 23	21.018
2020 07 06 00	20.942
2020 07 06 01	20.838
2020 07 06 02	20.695
2020 07 06 03	20.573
2020 07 06 04	20.52
2020 07 06 05	20.464
2020 07 06 06	20.374
2020 07 06 07	20.306
2020 07 06 08	20.233
2020 07 06 09	20.164
2020 07 06 10	20.12
2020 07 06 11	20.088
2020 07 06 12	20.067
2020 07 06 13	20.051
2020 07 06 14	20.034
2020 07 06 15	20.031
2020 07 06 16	20.039
2020 07 06 17	20.045
2020 07 06 18	20.031
2020 07 06 19	19.992
2020 07 06 20	19.942
2020 07 06 21	19.854
2020 07 06 22	19.738
2020 07 06 23	19.621
2020 07 07 00	19.528
2020 07 07 01	19.402
2020 07 07 02	19.283
2020 07 07 03	19.193
2020 07 07 04	19.138
2020 07 07 05	19.121
2020 07 07 06	19.127
2020 07 07 07	19.128
2020 07 07 08	19.109
2020 07 07 09	19.077
2020 07 07 10	19.02
2020 07 07 11	18.934
2020 07 07 12	18.839
2020 07 07 13	18.732
2020 07 07 14	18.673
2020 07 07 15	18.675
2020 07 07 16	18.729
2020 07 07 17	18.805
2020 07 07 18	18.871
2020 07 07 19	18.918
2020 07 07 20	18.918
2020 07 07 21	18.858
2020 07 07 22	18.761
2020 07 07 23	18.636
2020 07 08 00	18.091
2020 07 08 01	17.886
2020 07 08 02	17.671
2020 07 08 03	17.515
2020 07 08 04	17.44
2020 07 08 05	17.459
2020 07 08 06	17.526
2020 07 08 07	17.615
2020 07 08 08	17.704
2020 07 08 09	17.773
2020 07 08 10	17.836
2020 07 08 11	17.893
2020 07 08 12	17.949
2020 07 08 13	18.007
2020 07 08 14	18.066
2020 07 08 15	18.08
2020 07 08 16	18.186
2020 07 08 17	18.283
2020 07 08 18	18.355
2020 07 08 19	18.36
2020 07 08 20	18.327
2020 07 08 21	18.279
2020 07 08 22	18.225
2020 07 08 23	18.168
2020 07 09 00	18.112
2020 07 09 01	18.072
2020 07 09 02	18.043
2020 07 09 03	18.013
2020 07 09 04	17.977
2020 07 09 05	17.945
2020 07 09 06	17.921
2020 07 09 07	17.922
2020 07 09 08	17.982
2020 07 09 09	18.134
2020 07 09 10	18.365
2020 07 09 11	18.649
2020 07 09 12	18.953
2020 07 09 13	19.228
2020 07 09 14	19.366
2020 07 09 15	19.446
2020 07 09 16	19.536
2020 07 09 17	19.574
2020 07 09 18	19.567
2020 07 09 19	19.527
2020 07 09 20	19.466
2020 07 09 21	19.366
2020 07 09 22	19.299
2020 07 09 23	19.246
2020 07 10 00	19.159
2020 07 10 01	19.053
2020 07 10 02	18.929
2020 07 10 03	18.812
2020 07 10 04	18.716
2020 07 10 05	18.644
2020 07 10 06	18.596
2020 07 10 07	18.575
2020 07 10 08	18.585
2020 07 10 09	18.626
2020 07 10 10	18.696
2020 07 10 11	18.756
2020 07 10 12	18.805
2020 07 10 13	18.86
2020 07 10 14	18.89
2020 07 10 15	18.916
2020 07 10 16	18.949
2020 07 10 17	18.972
2020 07 10 18	18.969
2020 07 10 19	18.945
2020 07 10 20	18.905
2020 07 10 21	18.871
2020 07 10 22	18.852
2020 07 10 23	18.825
2020 07 11 00	18.79
2020 07 11 01	18.746
2020 07 11 02	18.68
2020 07 11 03	18.599
2020 07 11 04	18.519
2020 07 11 05	18.46
2020 07 11 06	18.419
2020 07 11 07	18.376
2020 07 11 08	18.345
2020 07 11 09	18.343
2020 07 11 10	18.359
2020 07 11 11	18.378
2020 07 11 12	18.394
2020 07 11 13	18.399
2020 07 11 14	18.346
2020 07 11 15	18.228
2020 07 11 16	18.085
2020 07 11 17	17.963
2020 07 11 18	17.866
2020 07 11 19	17.787
2020 07 11 20	17.726
2020 07 11 21	17.669
2020 07 11 22	17.645
2020 07 11 23	17.646
2020 07 12 00	17.652
2020 07 12 01	17.651
2020 07 12 02	17.617
2020 07 12 03	17.553
2020 07 12 04	17.474
2020 07 12 05	17.389
2020 07 12 06	17.316
2020 07 12 07	17.292
2020 07 12 08	17.337
2020 07 12 09	17.437
2020 07 12 10	17.606
2020 07 12 11	17.819
2020 07 12 12	18.049
2020 07 12 13	18.292
2020 07 12 14	18.431
2020 07 12 15	18.386
2020 07 12 16	18.372
2020 07 12 17	18.319
2020 07 12 18	18.24
2020 07 12 19	18.168
2020 07 12 20	18.121
2020 07 12 21	18.091
2020 07 12 22	18.05
2020 07 12 23	17.991
2020 07 13 00	17.93
2020 07 13 01	17.875
2020 07 13 02	17.809
2020 07 13 03	17.729
2020 07 13 04	17.649
2020 07 13 05	17.58
2020 07 13 06	17.545
2020 07 13 07	17.565
2020 07 13 08	17.657
2020 07 13 09	17.828
2020 07 13 10	18.067
2020 07 13 11	18.358
2020 07 13 12	18.688
2020 07 13 13	19.033
2020 07 13 14	19.345
2020 07 13 15	19.562
2020 07 13 16	19.655
2020 07 13 17	19.634
2020 07 13 18	19.544
2020 07 13 19	19.461
2020 07 13 20	19.386
2020 07 13 21	19.297
2020 07 13 22	19.199
2020 07 13 23	19.078
2020 07 14 00	18.952
2020 07 14 01	18.849
2020 07 14 02	18.761
2020 07 14 03	18.661
2020 07 14 04	18.547
2020 07 14 05	18.448
2020 07 14 06	18.416
2020 07 14 07	18.428
2020 07 14 08	18.479
2020 07 14 09	18.574
2020 07 14 10	18.662
2020 07 14 11	18.675
2020 07 14 12	18.676
2020 07 14 13	18.767
2020 07 14 14	18.918
2020 07 14 15	19.084
2020 07 14 16	19.24
2020 07 14 17	19.34
2020 07 14 18	19.42
2020 07 14 19	19.509
2020 07 14 20	19.599
2020 07 14 21	19.637
2020 07 14 22	19.573
2020 07 14 23	19.423
2020 07 15 00	19.507
2020 07 15 01	19.405
2020 07 15 02	19.32
2020 07 15 03	19.248
2020 07 15 04	19.185
2020 07 15 05	19.128
2020 07 15 06	19.064
2020 07 15 07	19.019
2020 07 15 08	19.02
2020 07 15 09	19.057
2020 07 15 10	19.109
2020 07 15 11	19.145
2020 07 15 12	19.175
2020 07 15 13	19.261
2020 07 15 14	19.393
2020 07 15 15	19.523
2020 07 15 16	19.623
2020 07 15 17	19.687
2020 07 15 18	19.721
